"","gene_names","YH_0","YH_1","YH_2","OH_0","OH_1","OH_2","Avg_Expr","Fold_Change","p_value","q_value"
"ENSMUSG00000037933","Bicd2",6.66789212523023,5.89930132899595,5.88656477904569,5.76108045145163,5.65501115206311,5.49287864820573,5.63632341724016,0.514929327183802,0.0920063221745339,0.676088258760305
"ENSMUSG00000037935","Smarce1",4.6633844722698,4.84472208191447,4.89055369913251,5.06489147186886,4.60916987135904,4.80465765397985,4.82623966573592,-0.0266862479636563,0.896507478398859,0.859854870201732
"ENSMUSG00000037936","Scarb1",7.84905474546748,7.5073982409543,7.4432502432159,7.45424170806416,7.27987982804992,7.33837984244893,7.35750045952101,0.24240061702489,0.248363556397731,0.739276698214959
"ENSMUSG00000037938","Chchd5",2.31052917108322,3.26415956965311,3.49412115279041,3.80985685775483,3.41732056012787,3.51074676450057,3.57930806079443,-0.55637142961884,0.141364896749326,0.718332256457309
"ENSMUSG00000037940","Inpp4b",3.01705781335689,2.90870148358014,2.61851588956703,0.662602015359507,1.02260217644732,1.74960720505434,1.14493713228706,1.70315459654763,0.000974823996058738,0.322568667045748
"ENSMUSG00000037944","Ccr7",1.33698028405351,2.94663916843671,1.5911192706502,1.0344833780631,3.50343778766844,1.1791670554793,1.90569607373695,0.0525501673098618,0.945612184587498,0.8662652595288
"ENSMUSG00000037949","Ano10",4.28867600877456,4.63189004022173,4.70983650648081,4.4538533568745,4.42186285886129,4.61099527894827,4.49557049822802,0.047897020264343,0.812766320058,0.850904306216873
"ENSMUSG00000037957","Wdr20",4.71723772225046,4.585743748966,4.40877978292586,4.2311097936328,4.86903238606631,4.55393181540749,4.55135799836887,0.0192290863452394,0.934390777619889,0.864568931407026
"ENSMUSG00000037958","Ccdc55",3.93425228209405,3.96731619026928,4.27422438183377,4.54845512066775,3.92433746407535,4.00541795394505,4.15940351289605,-0.100805894830345,0.682022767705824,0.834833336191652
"ENSMUSG00000037960","1110007C09Rik",5.97502710322288,5.96708558560826,6.19242104833076,6.12377585101348,6.21157295945029,6.01327911971019,6.11620931005799,-0.0713647310040174,0.698137056950454,0.835181457913563
"ENSMUSG00000037965","Zc3h7a",7.14950326311496,6.62334307597098,7.11105218456185,6.33267929424883,7.02591469875079,7.08648657024083,6.81502685441349,0.146272653469113,0.615770797099547,0.824606631726369
"ENSMUSG00000037966","Ninj1",5.13320593109501,5.61382629093404,5.59422904321013,5.97045566220085,5.92395256736097,5.46495899825692,5.78645574260625,-0.339368654193184,0.195522839003727,0.738042890138791
"ENSMUSG00000037971","1110032A03Rik",2.98956957122895,4.5051859196913,4.04974401832492,3.2564340286228,4.65010393842307,3.91462192401148,3.94038663035245,-0.0922201272707234,0.856378722171181,0.855344916736828
"ENSMUSG00000037972","Snn",3.23609610977037,2.85344081128635,3.52044739331893,3.63441901939175,3.31595742643381,3.34018908542338,3.43018851041631,-0.22686040562443,0.363171902688099,0.774031572040825
"ENSMUSG00000037979","Ccdc92",3.04935544457523,0.970972892574392,1.12462590829198,3.17395730420728,1.03732598918817,2.85524623885936,2.35550984408494,-0.640525095604405,0.417840726287825,0.790973647034722
"ENSMUSG00000037992","Rara",4.3828608900906,4.29036542085088,4.0590523767804,4.55386425265744,3.9534421888198,4.15704371014558,4.22145005054094,0.0226428453663529,0.922081531872518,0.862885621150522
"ENSMUSG00000037993","Dhx38",4.23104065249974,4.12063394840001,3.50281430469616,3.6773729304056,3.5669977620791,4.17805328757707,3.80747466002059,0.144021641844714,0.620514195478042,0.824942035998582
"ENSMUSG00000037997","Parp11",2.15559057930254,3.25693214311973,2.16813815949569,3.38845407588857,2.90300740999589,3.30556639307675,3.19900929298707,-0.672122332347748,0.0925041739893604,0.676356386642677
"ENSMUSG00000037999","Arap2",3.53317708281168,2.83954646621812,3.11252666534504,3.05758197166571,2.84129487273162,3.4724357815155,3.12377087530428,0.0379791961540035,0.890191106047632,0.859854870201732
"ENSMUSG00000038000","Acd",5.10310732908942,4.95797958343248,5.06278227767597,5.54036520629028,5.27715161067749,5.34817221124765,5.38856300940514,-0.347273279339184,0.0892104113551412,0.675417477325605
"ENSMUSG00000038005","2700029M09Rik",5.01897237740869,4.97394642671438,5.18221158390183,5.44868294503917,4.95928330257492,4.91711663867293,5.10836096209568,-0.0499841660873755,0.821602447588792,0.852653585912913
"ENSMUSG00000038007","Acer2",6.77749862101748,5.43663492945729,5.55222642383113,7.4662437206905,6.6404806656261,6.61701043234184,6.90791160621948,-0.985791614784178,0.0546317496008828,0.61625280281054
"ENSMUSG00000038010","Ccdc138",0.142851244904074,2.01864841587568,0.791873236070166,1.42757935663972,0.0523847304886986,1.4406386501202,0.973534245749543,0.0109233865337624,0.985371839373788,0.871137551348167
"ENSMUSG00000038013","Wipf2",1.40302770773716,0.792292320810002,0.866210094761426,1.13929266728879,1.28580463765682,1.07834340334141,1.16781356942901,-0.147303528326145,0.531916093454416,0.811438541872899
"ENSMUSG00000038014","Fam120a",4.72459570583569,4.99139032524814,4.5298022101078,4.72112653811697,4.65761142538748,4.63094707942648,4.66989501431031,0.0787010660868968,0.694738845109021,0.834910431600226
"ENSMUSG00000038022","Fam188b",3.77999506573262,1.53637622668828,2.41444136274214,2.97171643708511,2.63326844750363,1.84941485963243,2.48479991474039,0.0921376369806241,0.879527915012902,0.858649500902244
"ENSMUSG00000038023","Atp6v0a2",5.11400880561717,4.49205826503495,4.64943726660003,4.68148299902129,4.83790793074111,4.93675099475549,4.8187139748393,-0.0668791957552438,0.773326046037674,0.84545345116964
"ENSMUSG00000038024","Dennd4c",2.90064272011842,1.92866214905043,2.02099282451556,1.79902097374263,2.95211733230427,2.09465834265454,2.28193221623382,0.00150034832765612,0.997051702328474,0.872787475820501
"ENSMUSG00000038025","Phf2",2.54397092947368,2.58808975711253,2.50823340642414,2.90803275784434,2.30080609706525,2.41162148447554,2.54015344646171,0.00661125120840779,0.97650647545075,0.870766470420778
"ENSMUSG00000038028","Tigar",2.28313059118184,2.47078933090175,2.63332657920161,2.33035187621772,2.45602809295583,2.59328444345512,2.45988813754289,0.00252736288551237,0.989665938233284,0.871186320324631
"ENSMUSG00000038034","Igsf8",3.9168492129266,4.26129009525939,4.66906646176101,4.08717427338441,5.16252023396837,5.02814034638464,4.75927828457914,-0.476876361263477,0.21475181032031,0.738042890138791
"ENSMUSG00000038037","Socs1",6.79792086344944,6.67701485655572,5.80703543278236,6.94627468307711,6.67214243285383,6.20315220410715,6.60718977334603,-0.179866055750191,0.606935259395704,0.822353510596835
"ENSMUSG00000038039","Gcc2",3.59432161774832,3.84467689453227,4.25184783130114,4.88149332581924,3.59654162643965,4.57479785524708,4.35094426916866,-0.453995487974743,0.259689883583137,0.745271842209247
"ENSMUSG00000038042","Ptpdc1",1.96739366516284,1.56969523247377,2.13815914522947,1.99858907589597,1.50652070135696,2.66943501765806,2.05818159830367,-0.166432250681638,0.631286799295805,0.827054405453054
"ENSMUSG00000038046","Rnmtl1",2.53784768995534,3.18696954745707,2.74799743505509,2.53364308045217,2.30790934340729,2.96731434557825,2.60295558981257,0.221315967676597,0.430193311791333,0.793865815666884
"ENSMUSG00000038047","Haus6",1.49190952063232,2.10258759041719,1.36101032439049,1.56544120039152,2.37283233254166,2.18426124881458,2.04084492724925,-0.38900911543592,0.241492044656853,0.738042890138791
"ENSMUSG00000038055","Dexi",4.09454856361384,4.38066711874234,4.69760147747125,4.53733955853385,4.40657748521744,3.8289869315477,4.257634658433,0.133304394842815,0.634577617100724,0.827948773316027
"ENSMUSG00000038056","Kmt2c",2.17300587090577,2.50168626115743,2.79835955651921,2.81159638747309,2.53391214422658,3.16781070619255,2.83777307929741,-0.346755849769938,0.217501865534064,0.738042890138791
"ENSMUSG00000038058","Nod1",5.83426118816977,5.29637664355621,5.59632395409259,5.52953675133383,5.35879007970185,5.65765429490569,5.51532704198046,0.0603268866257345,0.783795014159665,0.846624548060873
"ENSMUSG00000038065","Mturn",3.35536448809678,2.51626230085649,3.65099426933805,3.27685245676469,3.71904102619751,4.03381060492619,3.67656802929613,-0.502361009865691,0.195841099432296,0.738042890138791
"ENSMUSG00000038068","Rnf144b",2.26982311994862,1.11153883802885,1.40129733048127,2.33383873510371,2.36189185331988,2.60079068552637,2.43217375798332,-0.837953995163736,0.0350221310726189,0.598657705916178
"ENSMUSG00000038069","Cdkn2aip",4.90622199200111,5.19160212846187,4.84528931419146,5.06828816201415,5.10926025266994,5.24680329202653,5.14145056890354,-0.160412757352063,0.416513901000326,0.79095278729386
"ENSMUSG00000038070","Cntln",2.82800392156956,2.53728612600549,3.23350157223852,2.49170176571324,3.1059612929631,3.04680359280316,2.8814888838265,-0.0152250105553094,0.956566665505075,0.868768947930513
"ENSMUSG00000038072","Galnt11",4.3566297926099,3.8948565579471,4.12934072359248,4.37049212852273,4.48985759175095,4.4550509855794,4.43846690195103,-0.311524543901205,0.151545780533804,0.72531739702281
"ENSMUSG00000038074","Fkbp14",3.03845374112861,2.54566448181119,3.02804926399803,4.13368681369101,3.37337815920367,2.94816722631193,3.48507739973553,-0.614354904089588,0.111113856183524,0.696554007382984
"ENSMUSG00000038079","Tmem237",3.61601651056825,3.5743921982054,3.21388381784381,3.56602358518392,3.77654620636227,4.36197885403921,3.90151621519514,-0.433418706322647,0.144422148151599,0.722621609508942
"ENSMUSG00000038080","Kdm1b",2.78452492174773,2.97808760659265,2.71911771255901,2.72630591067583,2.65422012874492,2.78315278680454,2.72122627540843,0.106017138224702,0.562463325705385,0.817030746740405
"ENSMUSG00000038084","Opa1",4.13265086731231,3.51616647071489,3.94916137137824,3.7007060372584,4.25484343962484,4.0831452748407,4.01289825057465,-0.146905347439503,0.572779104872623,0.818701406419702
"ENSMUSG00000038085","Cnbd2",2.29760816754838,2.19547674209791,2.67846633811395,2.31829948550077,3.22153530897484,1.74101819799753,2.42695099749105,-0.0364339149042992,0.927354130244713,0.863462441752917
"ENSMUSG00000038086","Hspb2",1.37729591805231,2.46484075283819,3.03820086410233,1.94104619740069,1.66056358554518,1.82607454450764,1.80922810915117,0.484217735846437,0.279731851437322,0.752635407611453
"ENSMUSG00000038095","Sbno1",3.93544088892332,4.1399114696161,4.0874713276668,3.87960775377905,3.9079289622708,4.06596860195208,3.95116843933398,0.103106122734764,0.571818491254998,0.818701406419702
"ENSMUSG00000038102","Trappc11",4.56209585728006,4.60289628270281,4.43282581821718,4.61853820693418,4.16160556358544,4.82712799109763,4.53575725387242,-0.00315126780573237,0.989192390872249,0.871186320324631
"ENSMUSG00000038116","Phf20",4.85780189083303,5.63756387893541,5.37401353646863,5.89197321534021,5.43003431857349,5.40556697413807,5.57585816935059,-0.286065067271564,0.321857946908314,0.764096326110784
"ENSMUSG00000038121","Fam210a",1.31222951145607,2.49957804701013,1.61196552619359,1.06970216663007,1.89628735115569,1.51292972881758,1.49297308220111,0.31495127935215,0.420025652610822,0.790975262413609
"ENSMUSG00000038126","Mphosph9",0.201340274221471,2.40815478082646,1.75231186390447,1.92160770731354,1.84202543328001,2.55713066578705,2.10692126879354,-0.652985629142735,0.279683102392053,0.752635407611453
"ENSMUSG00000038127","Ccdc50",4.14841353439182,3.64874153049173,3.33004346965786,3.2603614425537,3.313514336444,3.63479072526822,3.40288883475531,0.306177343425163,0.278313464919688,0.75238973528659
"ENSMUSG00000038132","Rbm24",2.78376255290224,2.64333210775682,4.11865873355048,1.6675470176371,2.75637644977016,2.41217451749095,2.2786993282994,0.903218469770444,0.0952938343830889,0.681654410892778
"ENSMUSG00000038141","Tmem181a",2.22357391684838,2.21220823082517,2.1951932405955,2.04168805999964,2.30916745443125,2.87735947996649,2.40940499813246,-0.19907986870944,0.450440256555315,0.796152950779945
"ENSMUSG00000038143","Stox2",0.68563252006421,2.00854784258313,1.34382280394069,1.74792012089884,1.1181802916439,0.954220137927556,1.2734401834901,0.0725608720392453,0.855238560137779,0.855344916736828
"ENSMUSG00000038145","Snrk",9.70510704706321,8.66785665333859,9.21377497157904,9.62188520419005,9.22348771302114,9.28218262132246,9.37585184617789,-0.180272288850933,0.563228358603791,0.817030746740405
"ENSMUSG00000038146","Notch3",3.6285753130583,3.61803892014362,4.73606904135149,3.07210236957256,2.73916979020495,3.51892534402897,3.11006583460216,0.884161923582312,0.0495982661971635,0.605592208222722
"ENSMUSG00000038150","Ormdl3",5.37967987182455,5.85625619266814,5.90356857522489,5.73675909366043,5.51031319343798,5.94478584082109,5.73061937597317,-0.0174511627339746,0.941066043101068,0.865762264656046
"ENSMUSG00000038151","Prdm1",3.96883725726863,3.81478623919836,3.16890032415979,3.04522976606059,3.89225500784799,3.40344088989532,3.44697522126797,0.203866052274291,0.534237801515169,0.811438541872899
"ENSMUSG00000038152","5033430I15Rik",2.30747224256141,2.90178404623805,2.87072374567219,1.54608200156825,2.79551345662686,2.01387669593931,2.11849071804481,0.574835960112406,0.151327021590264,0.72531739702281
"ENSMUSG00000038156","Spon1",2.21548601735578,2.66079174094567,1.68502514260665,2.37291589082519,3.00272772007312,2.91237011204383,2.76267124098071,-0.575570274011347,0.106550770695076,0.687218048597502
"ENSMUSG00000038160","Atg5",4.70466174050733,4.62629894899181,4.62928084016807,4.64612808737373,4.68549168868455,4.55353867868753,4.62838615158194,0.0250276916404665,0.883842008599563,0.858908838443502
"ENSMUSG00000038168","P3h2",3.38148134873782,2.31346064350975,3.56139946089503,2.74745400056703,3.37779842271656,3.00046879971246,3.04190707433202,0.0435400767155205,0.909204101597366,0.862119083452794
"ENSMUSG00000038170","Pde4dip",2.79501673416624,1.8136970636134,2.72321559395441,2.92400674421914,2.40882325126146,2.93520324588606,2.75601108045555,-0.312034616544204,0.363501501748136,0.774445185209797
"ENSMUSG00000038172","Ttc39b",2.0751526543247,3.20603051107584,2.62607929419477,2.86426143527202,3.3241956712051,3.23758054354341,3.14201255000684,-0.506258396808407,0.155940414673753,0.72531739702281
"ENSMUSG00000038173","Enpp6",3.09677122746362,3.4363737495741,2.25173726817702,3.15508536253591,3.32264349422327,3.36063537097687,3.27945474257868,-0.351160660840435,0.308011077368635,0.760509740366998
"ENSMUSG00000038174","Fam126b",2.40909489869008,2.91759024263206,2.61693164933269,1.80822851850558,1.89517851319603,2.3732389373278,2.02554865634314,0.622323607208474,0.0361188199067989,0.598657705916178
"ENSMUSG00000038175","Mylip",6.36851693792381,6.09765082411696,5.86137479576347,6.44553801255718,6.26943342382953,6.13134871326857,6.28210671655176,-0.172925863950348,0.435183496153979,0.794344351328779
"ENSMUSG00000038178","Slc43a2",2.65352554944846,2.8322621786781,2.99329756356198,2.49341164721092,3.01335684541997,3.55174978295907,3.01950609186332,-0.19314432796714,0.533552503438238,0.811438541872899
