"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol","entrezid"
"ENSMUSG00000083311",0.589903098934801,1.24226687896324,4.00580599026024,0.310116586270952,0.75647229961264,NA,NA,NA
"ENSMUSG00000083325",1855.19220681263,0.161607171307052,0.164558285515446,0.982066450199389,0.326067112492739,0.93414417376608,NA,NA
"ENSMUSG00000083326",0.655225000973156,1.41860064914435,3.99456123978193,0.355133033139276,0.722489930594507,NA,NA,NA
"ENSMUSG00000083327",14944.6752782171,0.0509688363815422,0.0891158360631941,0.57193915956081,0.567363193216921,0.998723058505589,NA,NA
"ENSMUSG00000083328",34.0024348328965,-0.108154951324327,0.70388763875026,-0.153653715977104,0.877882780581893,0.998922454474621,NA,NA
"ENSMUSG00000083332",5.17520445150468,2.33525877855443,2.02930543642781,1.15076751711915,0.249827891551362,NA,NA,NA
"ENSMUSG00000083335",1.67996348855045,4.16341914754598,3.93251826415397,1.05871578156336,0.289729238394709,NA,NA,NA
"ENSMUSG00000083337",82.6375523490417,-0.329611408493152,0.489699586447971,-0.673089007250311,0.500890666972775,0.985465279626639,NA,NA
"ENSMUSG00000083338",52.6006031444489,0.463259053852117,0.625900847390148,0.740147670008425,0.459210396229272,0.978660868642671,NA,NA
"ENSMUSG00000083353",0.875547887190515,3.24666326810916,3.95521689659411,0.820855936094151,0.411728332613046,NA,NA,NA
"ENSMUSG00000083364",198.040279313486,0.246568545240385,0.363727650514971,0.677893321806272,0.497839334572499,0.985275988068339,NA,NA
"ENSMUSG00000083367",1503.68161749035,-0.0546005027545454,0.187401266972846,-0.291356102530816,0.770778983939102,0.998922454474621,NA,NA
"ENSMUSG00000083372",106.395328510439,0.0928914031719943,0.489083634840769,0.18992948558223,0.849364386840391,0.998922454474621,NA,NA
"ENSMUSG00000083373",3.52832136803045,0.410806701872661,1.81017743804884,0.226942780988068,0.820468235390405,NA,NA,NA
"ENSMUSG00000083378",3.72653332830622,-0.574722044273692,1.89205315276088,-0.30375576047378,0.761313973107296,NA,NA,NA
"ENSMUSG00000083380",1.83509377294758,0.240958646570956,2.28627174067602,0.105393703768436,0.916063411905827,NA,NA,NA
"ENSMUSG00000083382",0.812109086774609,-1.99635367409219,3.97190011945409,-0.502619304124539,0.615231954423577,NA,NA,NA
"ENSMUSG00000083390",0.464824829336156,0.735066365491541,4.04666574446908,0.181647413428257,0.855859437248941,NA,NA,NA
"ENSMUSG00000083392",33.4227675867345,-0.277630241730189,0.843737207076289,-0.329048238482016,0.742119227248842,0.998922454474621,NA,NA
"ENSMUSG00000083394",0.519099835181804,-2.55236576740966,3.99282640877678,-0.639237849609292,0.522668212865316,NA,NA,NA
"ENSMUSG00000083396",3845.84996600693,-0.306511129424168,0.278411509801504,-1.10092836909903,0.270927833957997,0.89347987309528,NA,NA
