"","OB1","OB3","OB4","YB1","YB3","YB4"
"ENSMUSG00000000915",7418,5997,8390,7784,5665,5942
"ENSMUSG00000000916",1392,880,1008,1295,1234,1380
"ENSMUSG00000000934",116,178,162,204,288,92
"ENSMUSG00000000938",0,51,1,0,0,2
"ENSMUSG00000000942",0,0,0,0,0,0
"ENSMUSG00000000948",0,0,0,0,0,5
"ENSMUSG00000000957",497,355,620,391,789,581
"ENSMUSG00000000958",455,403,843,580,869,544
"ENSMUSG00000000959",824,1091,685,934,1003,940
"ENSMUSG00000000976",1912,1066,1546,984,1216,1502
"ENSMUSG00000000982",16,20,21,48,4,10
"ENSMUSG00000000983",0,0,0,0,0,0
"ENSMUSG00000001014",26,40,62,23,0,97
"ENSMUSG00000001016",3858,2890,4999,2937,3856,3273
"ENSMUSG00000001017",8829,5778,10358,7024,7308,6563
"ENSMUSG00000001018",4650,5221,8337,3205,5336,4696
"ENSMUSG00000001020",1,7,1,1,3,1
"ENSMUSG00000001021",0,11,0,0,0,0
"ENSMUSG00000001023",0,0,0,0,0,0
"ENSMUSG00000001025",370,337,415,131,159,141
"ENSMUSG00000001027",0,0,25,0,0,0
"ENSMUSG00000001029",10781,8252,11512,12418,11812,8331
"ENSMUSG00000001034",1910,2104,2789,2746,2570,1889
"ENSMUSG00000001036",8317,10042,18114,9561,12212,12543
"ENSMUSG00000001039",127,167,245,144,103,139
"ENSMUSG00000001052",2982,4238,7772,4403,4605,5943
"ENSMUSG00000001053",4949,5139,7590,8988,7322,6445
"ENSMUSG00000001054",2235,2318,2962,3118,2808,2833
"ENSMUSG00000001056",684,486,512,429,611,527
"ENSMUSG00000001062",643,984,1410,1368,1145,1024
"ENSMUSG00000001065",735,1541,1547,1672,909,1242
"ENSMUSG00000001076",0,0,0,0,0,0
"ENSMUSG00000001082",2739,2044,3127,1947,2292,2220
"ENSMUSG00000001089",7802,7366,12696,10046,8607,7891
"ENSMUSG00000001095",0,0,0,0,0,0
"ENSMUSG00000001098",16344,10651,18261,18489,13667,12808
"ENSMUSG00000001100",1852,1519,3652,2236,2836,2664
"ENSMUSG00000001103",182,63,101,91,151,18
"ENSMUSG00000001105",1351,1445,1874,1232,1559,1465
"ENSMUSG00000001119",0,0,307,86,59,135
"ENSMUSG00000001120",686,580,708,733,1435,735
"ENSMUSG00000001123",13601,9382,16650,15184,14872,11786
"ENSMUSG00000001127",5205,5030,7583,4532,6188,5556
"ENSMUSG00000001128",60,1,96,95,95,0
"ENSMUSG00000001131",34,8,30,22,17,13
"ENSMUSG00000001134",63,65,47,34,30,14
"ENSMUSG00000001138",1558,1809,2193,1993,1127,1221
"ENSMUSG00000001143",1490,703,1685,3439,1057,1455
"ENSMUSG00000001150",703,663,3078,1785,1155,1412
"ENSMUSG00000001151",629,1567,1657,1034,954,1582
"ENSMUSG00000001155",0,2,0,0,0,0
"ENSMUSG00000001156",3234,2287,5484,3000,2806,3224
"ENSMUSG00000001157",1570,1860,2577,1593,1435,2014
"ENSMUSG00000001158",2090,1604,2372,1953,2208,1770
"ENSMUSG00000001166",116,147,213,30,158,120
"ENSMUSG00000001168",0,0,0,0,0,0
"ENSMUSG00000001173",731,1177,1270,532,1030,849
"ENSMUSG00000001175",122156,93959,143600,98942,111992,79575
"ENSMUSG00000001211",5165,4779,8125,6728,6471,5071
"ENSMUSG00000001225",0,0,0,0,0,0
"ENSMUSG00000001227",4596,2176,3993,3380,2299,2542
"ENSMUSG00000001228",139,3,193,178,341,166
"ENSMUSG00000001229",3373,2135,2738,4015,2874,3591
"ENSMUSG00000001240",27430,18315,29144,28745,27474,22108
"ENSMUSG00000001247",15287,9266,16897,18239,14812,13091
"ENSMUSG00000001248",3510,2388,5179,4672,2825,3943
"ENSMUSG00000001249",41,22,3,0,38,58
"ENSMUSG00000001260",277,0,0,0,0,0
"ENSMUSG00000001270",4694,3752,6687,4996,4583,4009
"ENSMUSG00000001280",1398,1253,2914,1530,1230,1952
"ENSMUSG00000001281",62,0,179,82,8,55
"ENSMUSG00000001285",841,453,1491,836,1309,802
"ENSMUSG00000001288",2211,2109,3641,2071,2589,2879
