"","nGene","nUMI","orig.ident","percent.mito","CellType","res.0.6","Batch","Jun_Status"
"Cell_981",682,1047,"Cell",0,"Young","1","Batch1","Low"
"Cell_982",824,1257,"Cell",0,"Young","1","Batch1","Low"
"Cell_983",656,1028,"Cell",0,"Young","0","Batch1","High"
"Cell_984",708,1179,"Cell",0,"Young","2","Batch1","Low"
"Cell_985",1339,2529,"Cell",0,"Young","0","Batch1","High"
"Cell_986",1455,2437,"Cell",0,"Young","0","Batch1","High"
"Cell_987",2442,5692,"Cell",0,"Young","6","Batch1","Low"
"Cell_988",794,1288,"Cell",0,"Young","3","Batch1","Low"
"Cell_989",713,1056,"Cell",0,"Young","0","Batch1","High"
"Cell_990",1286,2422,"Cell",0,"Young","0","Batch1","High"
"Cell_991",694,1144,"Cell",0,"Young","1","Batch1","Low"
"Cell_992",922,1517,"Cell",0,"Young","1","Batch1","Low"
"Cell_993",831,1606,"Cell",0,"Young","9","Batch1","Low"
"Cell_994",958,1668,"Cell",0,"Young","1","Batch1","Low"
"Cell_995",791,1215,"Cell",0,"Young","2","Batch1","Low"
"Cell_996",854,1393,"Cell",0,"Young","4","Batch1","Low"
"Cell_997",787,1341,"Cell",0,"Young","2","Batch1","Low"
"Cell_998",1299,2485,"Cell",0,"Young","0","Batch1","High"
"Cell_999",1284,2373,"Cell",0,"Young","3","Batch1","Low"
"Cell_1000",974,1757,"Cell",0,"Young","1","Batch1","Low"
"Cell_1001",1056,1799,"Cell",0,"Young","1","Batch1","Low"
"Cell_1002",1233,2220,"Cell",0,"Young","1","Batch1","Low"
"Cell_1003",898,1493,"Cell",0,"Young","2","Batch1","Low"
"Cell_1004",2007,4148,"Cell",0,"Young","6","Batch1","Low"
"Cell_1005",1096,1835,"Cell",0,"Young","3","Batch1","Low"
"Cell_1006",813,1346,"Cell",0,"Young","1","Batch1","Low"
"Cell_1007",976,1685,"Cell",0,"Young","0","Batch1","High"
"Cell_1008",1095,1883,"Cell",0,"Young","3","Batch1","Low"
"Cell_1009",908,1518,"Cell",0,"Young","4","Batch1","Low"
"Cell_1010",801,1345,"Cell",0,"Young","2","Batch1","Low"
"Cell_1011",718,1058,"Cell",0,"Young","1","Batch1","Low"
"Cell_1012",1094,1890,"Cell",0,"Young","9","Batch1","Low"
"Cell_1013",581,939,"Cell",0,"Young","0","Batch1","High"
"Cell_1014",1260,2235,"Cell",0,"Young","3","Batch1","Low"
"Cell_1015",1158,1982,"Cell",0,"Young","3","Batch1","Low"
"Cell_1016",659,1005,"Cell",0,"Young","5","Batch1","Low"
"Cell_1017",1688,3759,"Cell",0,"Young","0","Batch1","High"
"Cell_1018",976,1670,"Cell",0,"Young","0","Batch1","High"
"Cell_1019",1214,2260,"Cell",0,"Young","1","Batch1","Low"
"Cell_1020",825,1504,"Cell",0,"Young","5","Batch1","Low"
"Cell_1021",633,961,"Cell",0,"Young","0","Batch1","High"
"Cell_1022",768,1218,"Cell",0,"Young","1","Batch1","Low"
"Cell_1023",727,1080,"Cell",0,"Young","4","Batch1","Low"
"Cell_1024",1610,3328,"Cell",0,"Young","7","Batch1","Low"
"Cell_1025",928,1530,"Cell",0,"Young","1","Batch1","Low"
"Cell_1026",1496,2781,"Cell",0,"Young","7","Batch1","Low"
"Cell_1027",688,1011,"Cell",0,"Young","4","Batch1","Low"
"Cell_1028",1108,2107,"Cell",0,"Young","3","Batch1","Low"
"Cell_1029",927,1502,"Cell",0,"Young","3","Batch1","Low"
"Cell_1030",932,1617,"Cell",0,"Young","2","Batch1","Low"
"Cell_1031",758,1247,"Cell",0,"Young","7","Batch1","Low"
"Cell_1032",763,1209,"Cell",0,"Young","1","Batch1","Low"
"Cell_1034",965,1801,"Cell",0,"Young","1","Batch1","Low"
"Cell_1035",1864,3839,"Cell",0,"Young","6","Batch1","Low"
"Cell_1036",648,947,"Cell",0,"Young","10","Batch1","Low"
"Cell_1037",749,1190,"Cell",0,"Young","2","Batch1","Low"
"Cell_1038",1701,3309,"Cell",0,"Young","3","Batch1","Low"
"Cell_1039",589,946,"Cell",0,"Young","0","Batch1","High"
"Cell_1040",877,1430,"Cell",0,"Young","0","Batch1","High"
"Cell_1041",2241,12207,"Cell",0,"Young","6","Batch1","Low"
"Cell_1042",1993,4336,"Cell",0,"Young","7","Batch1","Low"
"Cell_1043",833,1408,"Cell",0,"Young","1","Batch1","Low"
"Cell_1044",729,1110,"Cell",0,"Young","4","Batch1","Low"
"Cell_1045",1684,3125,"Cell",0,"Young","3","Batch1","Low"
"Cell_1046",919,1587,"Cell",0,"Young","7","Batch1","Low"
"Cell_1047",2488,5990,"Cell",0,"Young","6","Batch1","Low"
"Cell_1048",1519,3091,"Cell",0,"Young","7","Batch1","Low"
"Cell_1049",1314,2221,"Cell",0,"Young","5","Batch1","Low"
"Cell_1050",832,1357,"Cell",0,"Young","1","Batch1","Low"
"Cell_1051",1256,2402,"Cell",0,"Young","5","Batch1","Low"
"Cell_1052",1311,2809,"Cell",0,"Young","6","Batch1","Low"
"Cell_1053",1337,2573,"Cell",0,"Young","1","Batch1","Low"
"Cell_1054",673,1020,"Cell",0,"Young","1","Batch1","Low"
"Cell_1055",1260,2106,"Cell",0,"Young","2","Batch1","Low"
"Cell_1056",794,1248,"Cell",0,"Young","7","Batch1","Low"
"Cell_1057",697,1073,"Cell",0,"Young","1","Batch1","Low"
"Cell_1058",638,995,"Cell",0,"Young","1","Batch1","Low"
"Cell_1059",581,946,"Cell",0,"Young","4","Batch1","Low"
"Cell_1060",896,1441,"Cell",0,"Young","0","Batch1","High"
"Cell_1061",731,1168,"Cell",0,"Young","3","Batch1","Low"
"Cell_1062",1414,2598,"Cell",0,"Young","6","Batch1","Low"
"Cell_1063",948,1499,"Cell",0,"Young","3","Batch1","Low"
"Cell_1064",1593,3910,"Cell",0,"Young","5","Batch1","Low"
"Cell_1065",1186,2113,"Cell",0,"Young","4","Batch1","Low"
"Cell_1066",1146,1919,"Cell",0,"Young","4","Batch1","Low"
"Cell_1067",792,1300,"Cell",0,"Young","0","Batch1","High"
"Cell_1068",852,1319,"Cell",0,"Young","0","Batch1","High"
"Cell_1069",1464,3273,"Cell",0,"Young","5","Batch1","Low"
"Cell_1070",1113,2337,"Cell",0,"Young","4","Batch1","Low"
"Cell_1071",752,1241,"Cell",0,"Young","2","Batch1","Low"
"Cell_1072",937,1720,"Cell",0,"Young","1","Batch1","Low"
"Cell_1073",1353,2551,"Cell",0,"Young","1","Batch1","Low"
"Cell_1074",839,1320,"Cell",0,"Young","4","Batch1","Low"
"Cell_1075",1170,2268,"Cell",0,"Young","8","Batch1","Low"
"Cell_1076",1056,1997,"Cell",0,"Young","0","Batch1","High"
"Cell_1077",2100,4174,"Cell",0,"Young","9","Batch1","Low"
"Cell_1080",1693,3392,"Cell",0,"Young","5","Batch1","Low"
"Cell_1081",1765,3624,"Cell",0,"Young","0","Batch1","High"
"Cell_1082",2005,4358,"Cell",0,"Young","7","Batch1","Low"
"Cell_1083",881,1440,"Cell",0,"Young","2","Batch1","Low"
"Cell_1084",1165,2149,"Cell",0,"Young","1","Batch1","Low"
"Cell_1085",989,1860,"Cell",0,"Young","10","Batch1","Low"
"Cell_1086",1058,1909,"Cell",0,"Young","2","Batch1","Low"
"Cell_1087",929,1488,"Cell",0,"Young","3","Batch1","Low"
"Cell_1088",1287,2363,"Cell",0,"Young","7","Batch1","Low"
"Cell_1089",674,985,"Cell",0,"Young","0","Batch1","High"
"Cell_1090",1014,1814,"Cell",0,"Young","3","Batch1","Low"
"Cell_1091",872,1423,"Cell",0,"Young","1","Batch1","Low"
"Cell_1092",684,1109,"Cell",0,"Young","3","Batch1","Low"
"Cell_1093",641,956,"Cell",0,"Young","0","Batch1","High"
"Cell_1094",1514,2795,"Cell",0,"Young","2","Batch1","Low"
"Cell_1095",1108,1907,"Cell",0,"Young","3","Batch1","Low"
"Cell_1096",764,1154,"Cell",0,"Young","0","Batch1","High"
"Cell_1097",708,1155,"Cell",0,"Young","3","Batch1","Low"
"Cell_1098",1805,4107,"Cell",0,"Young","0","Batch1","High"
"Cell_1099",668,1015,"Cell",0,"Young","1","Batch1","Low"
"Cell_1100",1003,1757,"Cell",0,"Young","3","Batch1","Low"
"Cell_1101",1165,1951,"Cell",0,"Young","0","Batch1","High"
"Cell_1102",671,1020,"Cell",0,"Young","2","Batch1","Low"
"Cell_1103",1503,3247,"Cell",0,"Young","5","Batch1","Low"
"Cell_1104",1045,1869,"Cell",0,"Young","0","Batch1","High"
"Cell_1105",612,907,"Cell",0,"Young","0","Batch1","High"
"Cell_1106",1396,2409,"Cell",0,"Young","1","Batch1","Low"
"Cell_1107",1895,3936,"Cell",0,"Young","0","Batch1","High"
"Cell_1108",697,1085,"Cell",0,"Young","0","Batch1","High"
"Cell_1109",949,1504,"Cell",0,"Young","3","Batch1","Low"
"Cell_1110",1154,2088,"Cell",0,"Young","5","Batch1","Low"
"Cell_1111",883,1422,"Cell",0,"Young","2","Batch1","Low"
"Cell_1112",949,1679,"Cell",0,"Young","2","Batch1","Low"
"Cell_1113",1012,1952,"Cell",0,"Young","0","Batch1","High"
"Cell_1114",883,1415,"Cell",0,"Young","1","Batch1","Low"
"Cell_1115",1825,3468,"Cell",0,"Young","3","Batch1","Low"
"Cell_1116",1685,3286,"Cell",0,"Young","3","Batch1","Low"
"Cell_1117",2015,4783,"Cell",0,"Young","6","Batch1","Low"
"Cell_1118",700,1071,"Cell",0,"Young","1","Batch1","Low"
"Cell_1119",705,1149,"Cell",0,"Young","1","Batch1","Low"
"Cell_1120",700,1046,"Cell",0,"Young","4","Batch1","Low"
"Cell_1121",885,1441,"Cell",0,"Young","4","Batch1","Low"
"Cell_1122",1295,2680,"Cell",0,"Young","2","Batch1","Low"
"Cell_1123",1037,1769,"Cell",0,"Young","4","Batch1","Low"
"Cell_1124",1063,1745,"Cell",0,"Young","3","Batch1","Low"
"Cell_1125",1164,2373,"Cell",0,"Young","5","Batch1","Low"
"Cell_1126",703,1014,"Cell",0,"Young","0","Batch1","High"
"Cell_1128",1592,3534,"Cell",0,"Young","0","Batch1","High"
"Cell_1129",950,1593,"Cell",0,"Young","0","Batch1","High"
"Cell_1130",1040,1637,"Cell",0,"Young","3","Batch1","Low"
"Cell_1132",707,1145,"Cell",0,"Young","1","Batch1","Low"
"Cell_1133",1010,1910,"Cell",0,"Young","0","Batch1","High"
"Cell_1134",1321,2307,"Cell",0,"Young","3","Batch1","Low"
"Cell_1135",1375,2680,"Cell",0,"Young","0","Batch1","High"
"Cell_1136",867,1385,"Cell",0,"Young","1","Batch1","Low"
"Cell_1137",716,1201,"Cell",0,"Young","2","Batch1","Low"
"Cell_1138",639,987,"Cell",0,"Young","0","Batch1","High"
"Cell_1139",694,1066,"Cell",0,"Young","4","Batch1","Low"
"Cell_1140",1285,2391,"Cell",0,"Young","1","Batch1","Low"
"Cell_1141",1716,3334,"Cell",0,"Young","7","Batch1","Low"
"Cell_1142",960,1565,"Cell",0,"Young","2","Batch1","Low"
"Cell_1143",810,1409,"Cell",0,"Young","0","Batch1","High"
"Cell_1144",969,1612,"Cell",0,"Young","0","Batch1","High"
"Cell_1145",723,1037,"Cell",0,"Young","3","Batch1","Low"
"Cell_1146",675,1029,"Cell",0,"Young","1","Batch1","Low"
"Cell_1147",839,1440,"Cell",0,"Young","1","Batch1","Low"
"Cell_1148",796,1144,"Cell",0,"Young","1","Batch1","Low"
"Cell_1149",718,1116,"Cell",0,"Young","0","Batch1","High"
"Cell_1151",1085,1731,"Cell",0,"Young","2","Batch1","Low"
"Cell_1152",962,1524,"Cell",0,"Young","2","Batch1","Low"
"Cell_1153",720,1052,"Cell",0,"Young","1","Batch1","Low"
"Cell_1154",666,1049,"Cell",0,"Young","4","Batch1","Low"
"Cell_1155",2047,4219,"Cell",0,"Young","3","Batch1","Low"
"Cell_1156",1782,3745,"Cell",0,"Young","0","Batch1","High"
"Cell_1157",589,976,"Cell",0,"Young","0","Batch1","High"
"Cell_1158",1186,2091,"Cell",0,"Young","2","Batch1","Low"
"Cell_1159",1006,1616,"Cell",0,"Young","1","Batch1","Low"
"Cell_1160",792,1248,"Cell",0,"Young","2","Batch1","Low"
"Cell_1161",1305,2512,"Cell",0,"Young","0","Batch1","High"
"Cell_1162",1003,1764,"Cell",0,"Young","0","Batch1","High"
"Cell_1163",1618,2826,"Cell",0,"Young","9","Batch1","Low"
"Cell_1165",1460,4460,"Cell",0,"Young","10","Batch1","Low"
"Cell_1166",985,1643,"Cell",0,"Young","4","Batch1","Low"
"Cell_1167",780,1263,"Cell",0,"Young","0","Batch1","High"
"Cell_1168",707,1049,"Cell",0,"Young","0","Batch1","High"
"Cell_1169",1938,3896,"Cell",0,"Young","9","Batch1","Low"
"Cell_1170",1682,3126,"Cell",0,"Young","7","Batch1","Low"
"Cell_1171",950,1469,"Cell",0,"Young","0","Batch1","High"
"Cell_1172",611,900,"Cell",0,"Young","0","Batch1","High"
"Cell_1173",684,1108,"Cell",0,"Young","0","Batch1","High"
"Cell_1174",898,1531,"Cell",0,"Young","2","Batch1","Low"
"Cell_1175",2090,4475,"Cell",0,"Young","3","Batch1","Low"
"Cell_1176",716,1082,"Cell",0,"Young","1","Batch1","Low"
"Cell_1177",815,1258,"Cell",0,"Young","3","Batch1","Low"
"Cell_1178",937,1620,"Cell",0,"Young","0","Batch1","High"
"Cell_1180",1917,4456,"Cell",0,"Young","6","Batch1","Low"
"Cell_1181",626,936,"Cell",0,"Young","3","Batch1","Low"
"Cell_1182",853,1356,"Cell",0,"Young","0","Batch1","High"
"Cell_1183",834,1300,"Cell",0,"Young","0","Batch1","High"
"Cell_1184",876,1379,"Cell",0,"Young","0","Batch1","High"
"Cell_1185",1081,1795,"Cell",0,"Young","3","Batch1","Low"
"Cell_1186",2003,4425,"Cell",0,"Young","6","Batch1","Low"
"Cell_1187",1229,2625,"Cell",0,"Young","5","Batch1","Low"
"Cell_1188",1236,2375,"Cell",0,"Young","0","Batch1","High"
"Cell_1189",960,1687,"Cell",0,"Young","0","Batch1","High"
"Cell_1190",1048,1801,"Cell",0,"Young","4","Batch1","Low"
"Cell_1191",1394,8689,"Cell",0,"Young","6","Batch1","Low"
"Cell_1192",674,1028,"Cell",0,"Young","4","Batch1","Low"
"Cell_1193",796,1223,"Cell",0,"Young","3","Batch1","Low"
"Cell_1194",989,1644,"Cell",0,"Young","3","Batch1","Low"
"Cell_1195",984,1554,"Cell",0,"Young","2","Batch1","Low"
"Cell_1196",669,1033,"Cell",0,"Young","4","Batch1","Low"
"Cell_1197",921,1479,"Cell",0,"Young","2","Batch1","Low"
"Cell_1198",1496,3112,"Cell",0,"Young","5","Batch1","Low"
"Cell_1199",1008,1663,"Cell",0,"Young","3","Batch1","Low"
"Cell_1200",1026,1759,"Cell",0,"Young","7","Batch1","Low"
"Cell_1201",1185,2081,"Cell",0,"Young","9","Batch1","Low"
"Cell_1202",621,950,"Cell",0,"Young","3","Batch1","Low"
"Cell_1203",1145,2117,"Cell",0,"Young","3","Batch1","Low"
"Cell_1204",1625,3194,"Cell",0,"Young","6","Batch1","Low"
"Cell_1205",2178,5174,"Cell",0,"Young","3","Batch1","Low"
"Cell_1206",1274,2623,"Cell",0,"Young","1","Batch1","Low"
"Cell_1207",638,990,"Cell",0,"Young","1","Batch1","Low"
"Cell_1208",1186,2205,"Cell",0,"Young","7","Batch1","Low"
"Cell_1209",1601,3620,"Cell",0,"Young","5","Batch1","Low"
"Cell_1210",1073,1723,"Cell",0,"Young","1","Batch1","Low"
"Cell_1211",699,1081,"Cell",0,"Young","0","Batch1","High"
"Cell_1212",868,1312,"Cell",0,"Young","1","Batch1","Low"
"Cell_1213",724,1053,"Cell",0,"Young","1","Batch1","Low"
"Cell_1214",1002,1759,"Cell",0,"Young","3","Batch1","Low"
"Cell_1215",1496,2802,"Cell",0,"Young","2","Batch1","Low"
"Cell_1216",1046,1797,"Cell",0,"Young","0","Batch1","High"
"Cell_1217",787,1356,"Cell",0,"Young","4","Batch1","Low"
"Cell_1218",1772,3755,"Cell",0,"Young","4","Batch1","Low"
"Cell_1219",1952,4083,"Cell",0,"Young","3","Batch1","Low"
"Cell_1220",641,1148,"Cell",0,"Young","8","Batch1","Low"
"Cell_1221",637,954,"Cell",0,"Young","4","Batch1","Low"
"Cell_1222",799,1174,"Cell",0,"Young","0","Batch1","High"
"Cell_1223",1288,2291,"Cell",0,"Young","0","Batch1","High"
"Cell_1224",750,1133,"Cell",0,"Young","2","Batch1","Low"
"Cell_1225",859,1407,"Cell",0,"Young","1","Batch1","Low"
"Cell_1226",684,957,"Cell",0,"Young","2","Batch1","Low"
"Cell_1227",1258,2283,"Cell",0,"Young","3","Batch1","Low"
"Cell_1228",1675,3558,"Cell",0,"Young","5","Batch1","Low"
"Cell_1229",1698,3493,"Cell",0,"Young","2","Batch1","Low"
"Cell_1230",646,942,"Cell",0,"Young","2","Batch1","Low"
"Cell_1231",1171,2084,"Cell",0,"Young","7","Batch1","Low"
"Cell_1232",1084,1854,"Cell",0,"Young","0","Batch1","High"
"Cell_1233",1765,3590,"Cell",0,"Young","3","Batch1","Low"
"Cell_1234",744,1109,"Cell",0,"Young","7","Batch1","Low"
"Cell_1235",1128,2111,"Cell",0,"Young","5","Batch1","Low"
"Cell_1236",705,1149,"Cell",0,"Young","2","Batch1","Low"
"Cell_1237",675,942,"Cell",0,"Young","0","Batch1","High"
"Cell_1238",892,1377,"Cell",0,"Young","3","Batch1","Low"
"Cell_1239",1505,2847,"Cell",0,"Young","3","Batch1","Low"
"Cell_1240",852,1289,"Cell",0,"Young","3","Batch1","Low"
"Cell_1241",918,1487,"Cell",0,"Young","1","Batch1","Low"
"Cell_1242",1013,1726,"Cell",0,"Young","0","Batch1","High"
"Cell_1243",1458,2589,"Cell",0,"Young","0","Batch1","High"
"Cell_1244",647,1044,"Cell",0,"Young","4","Batch1","Low"
"Cell_1245",984,1576,"Cell",0,"Young","3","Batch1","Low"
"Cell_1246",1285,2352,"Cell",0,"Young","5","Batch1","Low"
"Cell_1247",1102,2116,"Cell",0,"Young","0","Batch1","High"
"Cell_1248",766,1134,"Cell",0,"Young","0","Batch1","High"
"Cell_1249",1634,3335,"Cell",0,"Young","4","Batch1","Low"
"Cell_1251",1134,2164,"Cell",0,"Young","1","Batch1","Low"
"Cell_1252",1147,1889,"Cell",0,"Young","0","Batch1","High"
"Cell_1253",645,983,"Cell",0,"Young","0","Batch1","High"
"Cell_1254",1143,2276,"Cell",0,"Young","2","Batch1","Low"
"Cell_1255",1283,2632,"Cell",0,"Young","1","Batch1","Low"
"Cell_1256",882,1423,"Cell",0,"Young","1","Batch1","Low"
"Cell_1257",861,1461,"Cell",0,"Young","1","Batch1","Low"
"Cell_1258",901,1423,"Cell",0,"Young","3","Batch1","Low"
"Cell_1259",686,1014,"Cell",0,"Young","1","Batch1","Low"
"Cell_1260",676,1063,"Cell",0,"Young","2","Batch1","Low"
"Cell_1261",1725,3691,"Cell",0,"Young","5","Batch1","Low"
"Cell_1262",1024,1876,"Cell",0,"Young","4","Batch1","Low"
"Cell_1263",1192,2427,"Cell",0,"Young","0","Batch1","High"
"Cell_1264",2270,4856,"Cell",0,"Young","9","Batch1","Low"
"Cell_1265",772,1190,"Cell",0,"Young","2","Batch1","Low"
"Cell_1266",623,940,"Cell",0,"Young","0","Batch1","High"
"Cell_1267",1266,2469,"Cell",0,"Young","9","Batch1","Low"
"Cell_1268",861,1497,"Cell",0,"Young","4","Batch1","Low"
"Cell_1269",750,1316,"Cell",0,"Young","0","Batch1","High"
"Cell_1270",1147,2206,"Cell",0,"Young","1","Batch1","Low"
"Cell_1271",917,1513,"Cell",0,"Young","2","Batch1","Low"
"Cell_1272",1442,2733,"Cell",0,"Young","3","Batch1","Low"
"Cell_1273",776,1171,"Cell",0,"Young","1","Batch1","Low"
"Cell_1274",1957,4643,"Cell",0,"Young","5","Batch1","Low"
"Cell_1275",1284,2331,"Cell",0,"Young","2","Batch1","Low"
"Cell_1276",966,1573,"Cell",0,"Young","3","Batch1","Low"
"Cell_1277",957,1637,"Cell",0,"Young","2","Batch1","Low"
"Cell_1278",594,899,"Cell",0,"Young","0","Batch1","High"
"Cell_1279",654,970,"Cell",0,"Young","1","Batch1","Low"
"Cell_1280",720,1019,"Cell",0,"Young","3","Batch1","Low"
"Cell_1281",1014,1765,"Cell",0,"Young","2","Batch1","Low"
"Cell_1282",1896,4046,"Cell",0,"Young","8","Batch1","Low"
"Cell_1283",743,1043,"Cell",0,"Young","1","Batch1","Low"
"Cell_1284",1012,1825,"Cell",0,"Young","0","Batch1","High"
"Cell_1285",793,1260,"Cell",0,"Young","2","Batch1","Low"
"Cell_1286",776,1296,"Cell",0,"Young","2","Batch1","Low"
"Cell_1287",1988,4205,"Cell",0,"Young","4","Batch1","Low"
"Cell_1288",630,947,"Cell",0,"Young","7","Batch1","Low"
"Cell_1289",998,1839,"Cell",0,"Young","3","Batch1","Low"
"Cell_1290",801,1226,"Cell",0,"Young","3","Batch1","Low"
"Cell_1291",1297,2475,"Cell",0,"Young","4","Batch1","Low"
"Cell_1292",1822,3770,"Cell",0,"Young","4","Batch1","Low"
"Cell_1293",1880,4395,"Cell",0,"Young","5","Batch1","Low"
"Cell_1294",1589,3398,"Cell",0,"Young","0","Batch1","High"
"Cell_1295",795,1125,"Cell",0,"Young","3","Batch1","Low"
"Cell_1296",721,1056,"Cell",0,"Young","3","Batch1","Low"
"Cell_1297",1458,2636,"Cell",0,"Young","9","Batch1","Low"
"Cell_1298",908,1631,"Cell",0,"Young","4","Batch1","Low"
"Cell_1299",1049,1836,"Cell",0,"Young","1","Batch1","Low"
"Cell_1300",1139,2077,"Cell",0,"Young","1","Batch1","Low"
"Cell_1301",695,1018,"Cell",0,"Young","2","Batch1","Low"
"Cell_1302",842,1312,"Cell",0,"Young","3","Batch1","Low"
"Cell_1303",774,1296,"Cell",0,"Young","4","Batch1","Low"
"Cell_1304",887,1607,"Cell",0,"Young","1","Batch1","Low"
"Cell_1305",1518,3064,"Cell",0,"Young","0","Batch1","High"
"Cell_1306",689,996,"Cell",0,"Young","0","Batch1","High"
"Cell_1307",884,1616,"Cell",0,"Young","2","Batch1","Low"
"Cell_1308",871,1327,"Cell",0,"Young","2","Batch1","Low"
"Cell_1309",1668,3515,"Cell",0,"Young","6","Batch1","Low"
"Cell_1310",940,1616,"Cell",0,"Young","0","Batch1","High"
"Cell_1311",1547,3207,"Cell",0,"Young","6","Batch1","Low"
"Cell_1312",775,1239,"Cell",0,"Young","3","Batch1","Low"
"Cell_1313",1189,2006,"Cell",0,"Young","3","Batch1","Low"
"Cell_1314",711,1403,"Cell",0,"Young","1","Batch1","Low"
"Cell_1315",1823,4258,"Cell",0,"Young","5","Batch1","Low"
"Cell_1316",700,1097,"Cell",0,"Young","2","Batch1","Low"
"Cell_1317",1184,2165,"Cell",0,"Young","3","Batch1","Low"
"Cell_1318",661,990,"Cell",0,"Young","0","Batch1","High"
"Cell_1319",802,1179,"Cell",0,"Young","3","Batch1","Low"
"Cell_1320",1396,2803,"Cell",0,"Young","0","Batch1","High"
"Cell_1321",1067,1785,"Cell",0,"Young","2","Batch1","Low"
"Cell_1322",918,1372,"Cell",0,"Young","4","Batch1","Low"
"Cell_1323",699,1110,"Cell",0,"Young","1","Batch1","Low"
"Cell_1324",1176,2085,"Cell",0,"Young","5","Batch1","Low"
"Cell_1325",1102,1980,"Cell",0,"Young","3","Batch1","Low"
"Cell_1326",667,1023,"Cell",0,"Young","2","Batch1","Low"
"Cell_1327",901,1489,"Cell",0,"Young","0","Batch1","High"
"Cell_1328",967,1590,"Cell",0,"Young","1","Batch1","Low"
"Cell_1329",816,1283,"Cell",0,"Young","2","Batch1","Low"
"Cell_1330",2457,5516,"Cell",0,"Young","9","Batch1","Low"
"Cell_1331",1013,1766,"Cell",0,"Young","3","Batch1","Low"
"Cell_1333",1465,2989,"Cell",0,"Young","4","Batch1","Low"
"Cell_1334",1545,3436,"Cell",0,"Young","5","Batch1","Low"
"Cell_1335",755,1126,"Cell",0,"Young","2","Batch1","Low"
"Cell_1336",2045,4634,"Cell",0,"Young","6","Batch1","Low"
"Cell_1337",1059,1823,"Cell",0,"Young","1","Batch1","Low"
"Cell_1338",1190,1946,"Cell",0,"Young","0","Batch1","High"
"Cell_1339",739,1132,"Cell",0,"Young","1","Batch1","Low"
"Cell_1340",813,1304,"Cell",0,"Young","0","Batch1","High"
"Cell_1341",905,1498,"Cell",0,"Young","3","Batch1","Low"
"Cell_1342",828,1982,"Cell",0,"Young","10","Batch1","Low"
"Cell_1343",1500,3262,"Cell",0,"Young","1","Batch1","Low"
"Cell_1344",1065,1756,"Cell",0,"Young","3","Batch1","Low"
"Cell_1345",1916,4218,"Cell",0,"Young","6","Batch1","Low"
"Cell_1346",1549,2964,"Cell",0,"Young","2","Batch1","Low"
"Cell_1347",970,1498,"Cell",0,"Young","0","Batch1","High"
"Cell_1348",760,1199,"Cell",0,"Young","2","Batch1","Low"
"Cell_1349",977,1750,"Cell",0,"Young","0","Batch1","High"
"Cell_1350",1139,2107,"Cell",0,"Young","1","Batch1","Low"
"Cell_1351",643,975,"Cell",0,"Young","1","Batch1","Low"
"Cell_1352",843,1344,"Cell",0,"Young","0","Batch1","High"
"Cell_1353",629,917,"Cell",0,"Young","1","Batch1","Low"
"Cell_1354",847,1371,"Cell",0,"Young","1","Batch1","Low"
"Cell_1355",700,1094,"Cell",0,"Young","5","Batch1","Low"
"Cell_1356",830,1386,"Cell",0,"Young","2","Batch1","Low"
"Cell_1357",886,1464,"Cell",0,"Young","2","Batch1","Low"
"Cell_1358",1411,2461,"Cell",0,"Young","3","Batch1","Low"
"Cell_1359",687,1087,"Cell",0,"Young","3","Batch1","Low"
"Cell_1360",604,1019,"Cell",0,"Young","1","Batch1","Low"
"Cell_1361",863,1404,"Cell",0,"Young","3","Batch1","Low"
"Cell_1362",913,1772,"Cell",0,"Young","0","Batch1","High"
"Cell_1363",956,1565,"Cell",0,"Young","1","Batch1","Low"
"Cell_1364",758,1224,"Cell",0,"Young","1","Batch1","Low"
"Cell_1365",746,1121,"Cell",0,"Young","4","Batch1","Low"
"Cell_1366",962,1779,"Cell",0,"Young","0","Batch1","High"
"Cell_1367",1995,4843,"Cell",0,"Young","6","Batch1","Low"
"Cell_1368",1077,1842,"Cell",0,"Young","3","Batch1","Low"
"Cell_1369",1701,3879,"Cell",0,"Young","5","Batch1","Low"
"Cell_1370",641,1048,"Cell",0,"Young","6","Batch1","Low"
"Cell_1371",1284,2409,"Cell",0,"Young","1","Batch1","Low"
"Cell_1372",608,939,"Cell",0,"Young","3","Batch1","Low"
"Cell_1373",1295,2058,"Cell",0,"Young","7","Batch1","Low"
"Cell_1374",2465,6592,"Cell",0,"Young","6","Batch1","Low"
"Cell_1375",1106,1941,"Cell",0,"Young","2","Batch1","Low"
"Cell_1376",934,1713,"Cell",0,"Young","2","Batch1","Low"
"Cell_1377",573,910,"Cell",0,"Young","0","Batch1","High"
"Cell_1378",948,1507,"Cell",0,"Young","3","Batch1","Low"
"Cell_1379",639,1073,"Cell",0,"Young","2","Batch1","Low"
"Cell_1381",1054,1851,"Cell",0,"Young","4","Batch1","Low"
"Cell_1382",577,964,"Cell",0,"Young","1","Batch1","Low"
"Cell_1383",912,1481,"Cell",0,"Young","3","Batch1","Low"
"Cell_1384",2009,4092,"Cell",0,"Young","6","Batch1","Low"
"Cell_1385",1070,1956,"Cell",0,"Young","0","Batch1","High"
"Cell_1386",799,1289,"Cell",0,"Young","0","Batch1","High"
"Cell_1387",847,1278,"Cell",0,"Young","1","Batch1","Low"
"Cell_1388",1145,1943,"Cell",0,"Young","1","Batch1","Low"
