"","nGene","nUMI","orig.ident","percent.mito","CellType","res.0.6","Batch","Jun_Status"
"Cell_2861",887,1760,"Cell",0,"Young","2","Batch1","Low"
"Cell_2862",910,1552,"Cell",0,"Young","2","Batch1","Low"
"Cell_2863",593,958,"Cell",0,"Young","7","Batch1","Low"
"Cell_2864",931,1540,"Cell",0,"Young","2","Batch1","Low"
"Cell_2865",1258,2404,"Cell",0,"Young","0","Batch1","High"
"Cell_2866",604,1185,"Cell",0,"Young","1","Batch1","Low"
"Cell_2867",1606,3329,"Cell",0,"Young","6","Batch1","Low"
"Cell_2868",1232,2234,"Cell",0,"Young","2","Batch1","Low"
"Cell_2869",1009,1729,"Cell",0,"Young","0","Batch1","High"
"Cell_2870",1813,4064,"Cell",0,"Young","7","Batch1","Low"
"Cell_2871",1981,3943,"Cell",0,"Young","6","Batch1","Low"
"Cell_2872",2105,4796,"Cell",0,"Young","6","Batch1","Low"
"Cell_2873",649,978,"Cell",0,"Young","2","Batch1","Low"
"Cell_2874",959,1697,"Cell",0,"Young","5","Batch1","Low"
"Cell_2875",659,1062,"Cell",0,"Young","3","Batch1","Low"
"Cell_2876",587,902,"Cell",0,"Young","4","Batch1","Low"
"Cell_2877",635,901,"Cell",0,"Young","4","Batch1","Low"
"Cell_2878",752,1064,"Cell",0,"Young","1","Batch1","Low"
"Cell_2879",1661,3204,"Cell",0,"Young","3","Batch1","Low"
"Cell_2880",1723,3536,"Cell",0,"Young","3","Batch1","Low"
"Cell_2881",811,1436,"Cell",0,"Young","2","Batch1","Low"
"Cell_2882",786,1281,"Cell",0,"Young","5","Batch1","Low"
"Cell_2883",783,1221,"Cell",0,"Young","1","Batch1","Low"
"Cell_2884",716,1088,"Cell",0,"Young","0","Batch1","High"
"Cell_2885",885,1406,"Cell",0,"Young","4","Batch1","Low"
"Cell_2886",1135,2033,"Cell",0,"Young","1","Batch1","Low"
"Cell_2887",896,1568,"Cell",0,"Young","0","Batch1","High"
"Cell_2888",1099,2028,"Cell",0,"Young","0","Batch1","High"
"Cell_2889",1897,4514,"Cell",0,"Young","6","Batch1","Low"
"Cell_2890",1007,1716,"Cell",0,"Young","1","Batch1","Low"
"Cell_2891",1231,2259,"Cell",0,"Young","7","Batch1","Low"
"Cell_2892",1001,1673,"Cell",0,"Young","3","Batch1","Low"
"Cell_2893",560,929,"Cell",0,"Young","1","Batch1","Low"
"Cell_2894",880,1323,"Cell",0,"Young","0","Batch1","High"
"Cell_2895",1742,3855,"Cell",0,"Young","5","Batch1","Low"
"Cell_2897",1374,2448,"Cell",0,"Young","8","Batch1","Low"
"Cell_2898",809,1220,"Cell",0,"Young","1","Batch1","Low"
"Cell_2899",737,1108,"Cell",0,"Young","0","Batch1","High"
"Cell_2900",1152,2176,"Cell",0,"Young","0","Batch1","High"
"Cell_2901",815,1274,"Cell",0,"Young","0","Batch1","High"
"Cell_2902",1554,3179,"Cell",0,"Young","8","Batch1","Low"
"Cell_2903",791,1253,"Cell",0,"Young","1","Batch1","Low"
"Cell_2904",765,1118,"Cell",0,"Young","4","Batch1","Low"
"Cell_2905",1277,2215,"Cell",0,"Young","2","Batch1","Low"
"Cell_2906",809,1285,"Cell",0,"Young","0","Batch1","High"
"Cell_2907",757,1183,"Cell",0,"Young","3","Batch1","Low"
"Cell_2908",1780,3890,"Cell",0,"Young","5","Batch1","Low"
"Cell_2909",745,1131,"Cell",0,"Young","1","Batch1","Low"
"Cell_2910",1849,3933,"Cell",0,"Young","6","Batch1","Low"
"Cell_2911",1130,2058,"Cell",0,"Young","0","Batch1","High"
"Cell_2912",1485,2874,"Cell",0,"Young","7","Batch1","Low"
"Cell_2913",2117,5255,"Cell",0,"Young","5","Batch1","Low"
"Cell_2914",1682,3370,"Cell",0,"Young","3","Batch1","Low"
"Cell_2915",980,1494,"Cell",0,"Young","1","Batch1","Low"
"Cell_2916",791,1293,"Cell",0,"Young","7","Batch1","Low"
"Cell_2918",777,1172,"Cell",0,"Young","2","Batch1","Low"
"Cell_2919",934,1477,"Cell",0,"Young","3","Batch1","Low"
"Cell_2920",692,1047,"Cell",0,"Young","3","Batch1","Low"
"Cell_2921",761,1275,"Cell",0,"Young","7","Batch1","Low"
"Cell_2922",778,1247,"Cell",0,"Young","0","Batch1","High"
"Cell_2923",790,1336,"Cell",0,"Young","2","Batch1","Low"
"Cell_2924",677,1322,"Cell",0,"Young","10","Batch1","Low"
"Cell_2925",1724,3996,"Cell",0,"Young","6","Batch1","Low"
"Cell_2926",1155,2202,"Cell",0,"Young","0","Batch1","High"
"Cell_2927",888,1578,"Cell",0,"Young","0","Batch1","High"
"Cell_2928",1032,1663,"Cell",0,"Young","0","Batch1","High"
"Cell_2929",979,1793,"Cell",0,"Young","0","Batch1","High"
"Cell_2930",1071,2070,"Cell",0,"Young","0","Batch1","High"
"Cell_2931",572,895,"Cell",0,"Young","1","Batch1","Low"
"Cell_2932",688,1057,"Cell",0,"Young","0","Batch1","High"
"Cell_2933",661,1017,"Cell",0,"Young","2","Batch1","Low"
"Cell_2934",818,1362,"Cell",0,"Young","0","Batch1","High"
"Cell_2935",1621,3726,"Cell",0,"Young","6","Batch1","Low"
"Cell_2936",966,1494,"Cell",0,"Young","9","Batch1","Low"
"Cell_2937",673,1072,"Cell",0,"Young","0","Batch1","High"
"Cell_2938",720,1234,"Cell",0,"Young","2","Batch1","Low"
"Cell_2939",1060,1866,"Cell",0,"Young","0","Batch1","High"
