"","CellType"
"Cell_5081","Old"
"Cell_5091","Old"
"Cell_5111","Old"
"Cell_5121","Old"
"Cell_5211","Old"
"Cell_5221","Old"
"Cell_5241","Old"
"Cell_5261","Old"
"Cell_5281","Old"
"Cell_5311","Old"
"Cell_5331","Old"
"Cell_5431","Old"
"Cell_5451","Old"
"Cell_5511","Old"
"Cell_5531","Old"
"Cell_5541","Old"
"Cell_5921","Old"
"Cell_5931","Old"
"Cell_5941","Old"
"Cell_5961","Old"
"Cell_6031","Old"
"Cell_6151","Old"
"Cell_6191","Old"
"Cell_6401","Old"
"Cell_6471","Old"
"Cell_649","Old"
"Cell_650","Old"
"Cell_654","Old"
"Cell_655","Old"
"Cell_660","Old"
"Cell_679","Old"
"Cell_687","Old"
"Cell_692","Old"
"Cell_695","Old"
"Cell_696","Old"
"Cell_698","Old"
"Cell_700","Old"
"Cell_703","Old"
"Cell_705","Old"
"Cell_706","Old"
"Cell_708","Old"
"Cell_710","Old"
"Cell_713","Old"
"Cell_718","Old"
"Cell_727","Old"
"Cell_730","Old"
"Cell_731","Old"
"Cell_733","Old"
"Cell_735","Old"
"Cell_742","Old"
"Cell_750","Old"
"Cell_756","Old"
"Cell_758","Old"
"Cell_761","Old"
"Cell_762","Old"
"Cell_766","Old"
"Cell_3","Young"
"Cell_5","Young"
"Cell_9","Young"
"Cell_12","Young"
"Cell_14","Young"
"Cell_17","Young"
"Cell_24","Young"
"Cell_25","Young"
"Cell_28","Young"
"Cell_30","Young"
"Cell_35","Young"
"Cell_38","Young"
"Cell_39","Young"
"Cell_40","Young"
"Cell_41","Young"
"Cell_42","Young"
"Cell_49","Young"
"Cell_51","Young"
"Cell_53","Young"
"Cell_60","Young"
"Cell_66","Young"
"Cell_68","Young"
"Cell_70","Young"
"Cell_71","Young"
"Cell_72","Young"
"Cell_75","Young"
"Cell_77","Young"
"Cell_79","Young"
"Cell_80","Young"
"Cell_84","Young"
"Cell_95","Young"
"Cell_99","Young"
"Cell_101","Young"
"Cell_103","Young"
"Cell_104","Young"
"Cell_105","Young"
"Cell_107","Young"
"Cell_110","Young"
"Cell_114","Young"
"Cell_117","Young"
"Cell_118","Young"
"Cell_123","Young"
"Cell_125","Young"
"Cell_128","Young"
"Cell_134","Young"
"Cell_135","Young"
"Cell_141","Young"
"Cell_142","Young"
"Cell_144","Young"
"Cell_145","Young"
"Cell_146","Young"
"Cell_149","Young"
"Cell_151","Young"
"Cell_152","Young"
"Cell_154","Young"
"Cell_156","Young"
"Cell_157","Young"
"Cell_160","Young"
"Cell_164","Young"
"Cell_165","Young"
"Cell_167","Young"
"Cell_168","Young"
"Cell_169","Young"
"Cell_175","Young"
"Cell_176","Young"
"Cell_179","Young"
"Cell_183","Young"
"Cell_184","Young"
"Cell_185","Young"
"Cell_188","Young"
"Cell_193","Young"
"Cell_194","Young"
"Cell_195","Young"
"Cell_201","Young"
"Cell_203","Young"
"Cell_205","Young"
"Cell_206","Young"
"Cell_209","Young"
"Cell_210","Young"
"Cell_213","Young"
"Cell_215","Young"
"Cell_216","Young"
"Cell_219","Young"
"Cell_220","Young"
"Cell_225","Young"
"Cell_228","Young"
"Cell_230","Young"
"Cell_232","Young"
"Cell_237","Young"
"Cell_238","Young"
"Cell_243","Young"
"Cell_244","Young"
"Cell_245","Young"
"Cell_246","Young"
"Cell_259","Young"
"Cell_261","Young"
"Cell_262","Young"
"Cell_263","Young"
"Cell_267","Young"
"Cell_269","Young"
"Cell_270","Young"
"Cell_271","Young"
"Cell_273","Young"
"Cell_275","Young"
"Cell_277","Young"
"Cell_278","Young"
"Cell_279","Young"
"Cell_282","Young"
"Cell_285","Young"
"Cell_290","Young"
"Cell_292","Young"
"Cell_296","Young"
"Cell_297","Young"
"Cell_301","Young"
"Cell_302","Young"
"Cell_305","Young"
"Cell_307","Young"
"Cell_310","Young"
"Cell_313","Young"
"Cell_318","Young"
"Cell_320","Young"
"Cell_329","Young"
"Cell_333","Young"
"Cell_340","Young"
"Cell_341","Young"
"Cell_344","Young"
"Cell_349","Young"
"Cell_350","Young"
"Cell_352","Young"
"Cell_353","Young"
"Cell_355","Young"
"Cell_356","Young"
"Cell_358","Young"
"Cell_363","Young"
"Cell_365","Young"
"Cell_366","Young"
"Cell_368","Young"
"Cell_373","Young"
"Cell_377","Young"
"Cell_379","Young"
"Cell_383","Young"
"Cell_389","Young"
"Cell_394","Young"
"Cell_397","Young"
"Cell_398","Young"
"Cell_405","Young"
"Cell_406","Young"
"Cell_407","Young"
"Cell_414","Young"
"Cell_416","Young"
"Cell_420","Young"
"Cell_422","Young"
"Cell_425","Young"
"Cell_429","Young"
"Cell_437","Young"
"Cell_438","Young"
"Cell_441","Young"
"Cell_442","Young"
"Cell_444","Young"
"Cell_446","Young"
"Cell_449","Young"
"Cell_450","Young"
"Cell_454","Young"
"Cell_457","Young"
"Cell_462","Young"
"Cell_465","Young"
"Cell_467","Young"
"Cell_468","Young"
"Cell_472","Young"
"Cell_474","Young"
"Cell_479","Young"
"Cell_484","Young"
"Cell_485","Young"
"Cell_486","Young"
"Cell_491","Young"
"Cell_492","Young"
"Cell_494","Young"
"Cell_495","Young"
"Cell_496","Young"
"Cell_509","Young"
"Cell_510","Young"
"Cell_513","Young"
"Cell_517","Young"
"Cell_525","Young"
"Cell_528","Young"
"Cell_529","Young"
"Cell_530","Young"
"Cell_533","Young"
"Cell_535","Young"
"Cell_538","Young"
"Cell_540","Young"
"Cell_544","Young"
"Cell_546","Young"
"Cell_548","Young"
"Cell_549","Young"
"Cell_551","Young"
"Cell_553","Young"
"Cell_561","Young"
"Cell_566","Young"
"Cell_567","Young"
"Cell_573","Young"
"Cell_575","Young"
"Cell_576","Young"
"Cell_584","Young"
"Cell_585","Young"
"Cell_590","Young"
"Cell_597","Young"
"Cell_598","Young"
"Cell_602","Young"
"Cell_603","Young"
"Cell_604","Young"
"Cell_606","Young"
"Cell_607","Young"
"Cell_609","Young"
"Cell_611","Young"
"Cell_615","Young"
"Cell_617","Young"
"Cell_621","Young"
"Cell_622","Young"
"Cell_623","Young"
"Cell_624","Young"
"Cell_626","Young"
"Cell_632","Young"
"Cell_633","Young"
"Cell_636","Young"
"Cell_639","Young"
"Cell_643","Young"
"Cell_644","Young"
"Cell_647","Young"
"Cell_2010","Old"
"Cell_2110","Old"
"Cell_2210","Old"
"Cell_2610","Old"
"Cell_2910","Old"
"Cell_3510","Old"
"Cell_4610","Old"
"Cell_6710","Old"
"Cell_6810","Old"
"Cell_7010","Old"
"Cell_7610","Old"
"Cell_811","Old"
"Cell_961","Old"
"Cell_1041","Old"
"Cell_1051","Old"
"Cell_1091","Old"
"Cell_1291","Old"
"Cell_1361","Old"
"Cell_1441","Old"
"Cell_1531","Old"
"Cell_1591","Old"
"Cell_1621","Old"
"Cell_1651","Old"
"Cell_1821","Old"
"Cell_1931","Old"
"Cell_2001","Old"
"Cell_2011","Old"
"Cell_2171","Old"
"Cell_2181","Old"
"Cell_2291","Old"
"Cell_2391","Old"
"Cell_2591","Old"
"Cell_2801","Old"
"Cell_2861","Old"
"Cell_2881","Old"
"Cell_3301","Old"
"Cell_3351","Old"
"Cell_3421","Old"
"Cell_3461","Old"
"Cell_3591","Old"
"Cell_3601","Old"
"Cell_3751","Old"
"Cell_3811","Old"
"Cell_3821","Old"
"Cell_3981","Old"
"Cell_4001","Old"
"Cell_4011","Old"
"Cell_4051","Old"
"Cell_4061","Old"
"Cell_4231","Old"
"Cell_4451","Old"
"Cell_4491","Old"
"Cell_4511","Old"
"Cell_4561","Old"
"Cell_4571","Old"
"Cell_4611","Old"
"Cell_4631","Old"
"Cell_4641","Old"
"Cell_4651","Old"
"Cell_4671","Old"
"Cell_4731","Old"
"Cell_4761","Old"
"Cell_4811","Old"
"Cell_4831","Old"
"Cell_5001","Old"
"Cell_5131","Old"
"Cell_5141","Old"
"Cell_5151","Old"
"Cell_5171","Old"
"Cell_5401","Old"
"Cell_5441","Old"
"Cell_5771","Old"
"Cell_5811","Old"
"Cell_5851","Old"
"Cell_5991","Old"
"Cell_6051","Old"
"Cell_6171","Old"
"Cell_6181","Old"
"Cell_6251","Old"
"Cell_6351","Old"
"Cell_658","Old"
"Cell_674","Old"
"Cell_680","Old"
"Cell_691","Old"
"Cell_694","Old"
"Cell_704","Old"
"Cell_715","Old"
"Cell_726","Old"
"Cell_734","Old"
"Cell_738","Old"
"Cell_740","Old"
"Cell_745","Old"
"Cell_749","Old"
"Cell_752","Old"
"Cell_765","Old"
"Cell_19","Young"
"Cell_22","Young"
"Cell_26","Young"
"Cell_36","Young"
"Cell_46","Young"
"Cell_58","Young"
"Cell_61","Young"
"Cell_64","Young"
"Cell_67","Young"
"Cell_73","Young"
"Cell_74","Young"
"Cell_78","Young"
"Cell_82","Young"
"Cell_83","Young"
"Cell_88","Young"
"Cell_91","Young"
"Cell_94","Young"
"Cell_119","Young"
"Cell_129","Young"
"Cell_139","Young"
"Cell_140","Young"
"Cell_161","Young"
"Cell_171","Young"
"Cell_173","Young"
"Cell_180","Young"
"Cell_191","Young"
"Cell_199","Young"
"Cell_202","Young"
"Cell_208","Young"
"Cell_211","Young"
"Cell_224","Young"
"Cell_240","Young"
"Cell_242","Young"
"Cell_248","Young"
"Cell_254","Young"
"Cell_287","Young"
"Cell_289","Young"
"Cell_291","Young"
"Cell_293","Young"
"Cell_299","Young"
"Cell_303","Young"
"Cell_308","Young"
"Cell_323","Young"
"Cell_326","Young"
"Cell_334","Young"
"Cell_336","Young"
"Cell_345","Young"
"Cell_347","Young"
"Cell_364","Young"
"Cell_384","Young"
"Cell_386","Young"
"Cell_387","Young"
"Cell_390","Young"
"Cell_392","Young"
"Cell_393","Young"
"Cell_403","Young"
"Cell_409","Young"
"Cell_418","Young"
"Cell_435","Young"
"Cell_440","Young"
"Cell_445","Young"
"Cell_452","Young"
"Cell_466","Young"
"Cell_480","Young"
"Cell_481","Young"
"Cell_483","Young"
"Cell_499","Young"
"Cell_502","Young"
"Cell_519","Young"
"Cell_520","Young"
