"","nGene","nUMI","orig.ident","percent.mito","CellType","Collagenase_dependent1","res.0.6"
"Cell_746",1279,2688,"Cell",0,"Young",0.295584080578292,"8"
"Cell_747",957,1618,"Cell",0,"Young",0.0220065623386826,"1"
"Cell_748",1702,3885,"Cell",0,"Young",0.701683254665801,"6"
"Cell_749",1582,3202,"Cell",0,"Young",0.308923358055394,"2"
"Cell_750",1374,2626,"Cell",0,"Young",-0.135963399544258,"1"
"Cell_751",944,1637,"Cell",0,"Young",-0.280016056350039,"0"
"Cell_752",1390,2424,"Cell",0,"Young",-0.17226728811442,"6"
"Cell_753",1125,2136,"Cell",0,"Young",-0.20932179267851,"0"
"Cell_754",698,991,"Cell",0,"Young",0.363453440961112,"1"
"Cell_755",1884,4040,"Cell",0,"Young",0.338911712297357,"3"
"Cell_756",707,1161,"Cell",0,"Young",-0.245082863861,"0"
"Cell_757",674,997,"Cell",0,"Young",-0.341463453366511,"9"
"Cell_758",1774,3687,"Cell",0,"Young",0.449200590611279,"4"
"Cell_759",1230,2405,"Cell",0,"Young",-0.00680763032356857,"1"
"Cell_760",773,1204,"Cell",0,"Young",-0.129878578105225,"0"
"Cell_761",1418,2672,"Cell",0,"Young",0.993511024245032,"6"
"Cell_762",680,993,"Cell",0,"Young",-0.30866024476697,"0"
"Cell_764",712,1151,"Cell",0,"Young",0.0298187746853451,"1"
"Cell_765",1115,1926,"Cell",0,"Young",-0.347335249866567,"0"
"Cell_766",1971,4749,"Cell",0,"Young",0.679468705407837,"6"
"Cell_767",1421,2419,"Cell",0,"Young",-0.167737829851785,"8"
"Cell_768",1841,3862,"Cell",0,"Young",0.290047429767089,"8"
"Cell_769",699,1093,"Cell",0,"Young",-0.552143327179383,"0"
"Cell_770",1135,1944,"Cell",0,"Young",0.0635987940570855,"2"
"Cell_771",633,974,"Cell",0,"Young",0.297842275614754,"2"
