"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol","entrezid"
"ENSMUSG00000038400",1825.2634441181,0.104816006194834,0.283563806133229,0.369638169356449,0.7116521072367,0.99925033818109,"Pmepa1","65112"
"ENSMUSG00000038402",17.8515364266534,3.08844321940146,2.87044455700918,1.0759459582175,0.281951426280717,0.904242040142791,"Foxf2","14238"
"ENSMUSG00000038403",29.4005454289673,2.22583173943555,2.13219575404065,1.04391528555361,0.296524585487407,0.916869182260261,"Hfe2","69585"
"ENSMUSG00000038406",3406.47017483039,0.0719244559889464,0.166762096417102,0.431299782949779,0.666250408157496,0.99925033818109,"Scaf1","233208"
"ENSMUSG00000038412",556.81143003512,0.142573051550394,0.337394671318045,0.422570549183326,0.672608617761487,0.99925033818109,"Higd1a","56295"
"ENSMUSG00000038415",63.4422131817866,-1.12986854990644,2.18870561184826,-0.51622682547623,0.605695996620327,0.99925033818109,"Foxq1","15220"
"ENSMUSG00000038416",3383.90671664177,-0.0104560936620191,0.156895461973735,-0.0666436972139418,0.946865357703583,0.99925033818109,"Cdc16","69957"
"ENSMUSG00000038417",1278.7563090359,-0.334924405181438,0.459825001005673,-0.728373630074338,0.466384900991367,0.990387910555175,"Fig4","103199"
"ENSMUSG00000038418",350947.691065596,-0.171147632051272,0.209570232451912,-0.816660028711587,0.414122739864768,0.973955707398591,"Egr1","13653"
"ENSMUSG00000038421",49.9062772255113,0.780008072326274,1.88888633926223,0.412946007450578,NA,NA,"Fcrla","98752"
"ENSMUSG00000038422",58.58841257218,-0.0314179505660657,0.596883472399552,-0.052636656933658,0.958021409432169,0.99925033818109,"Hdhd3","72748"
"ENSMUSG00000038425",496.613321509705,0.267675753805868,0.5488666686282,0.487688120094592,0.625770767761177,0.99925033818109,"Poli","26447"
"ENSMUSG00000038429",3740.77810438703,-0.309807287584139,0.301308017282989,-1.02820791287863,0.303852037045869,0.922214391948568,"Usp5","22225"
"ENSMUSG00000038437",1266.0441779252,0.330513523464516,0.170187405580229,1.9420563016263,0.0521302848225731,0.564761889090309,"Mllt6","246198"
"ENSMUSG00000038446",2541.16157662992,0.22457879898683,0.180725671148853,1.24265024198946,0.213996747145518,0.834349692505017,"Cdc40","71713"
"ENSMUSG00000038451",201.319673132109,-0.0559195121978659,0.652525323414197,-0.0856970759468449,0.931707226635227,0.99925033818109,"Spsb2","14794"
"ENSMUSG00000038453",23.248969669884,-1.59150427230718,2.14374086718871,-0.742395826224218,0.45784754762547,0.98935272412758,"Srcin1","56013"
"ENSMUSG00000038456",205.88710772098,-0.962936396269237,0.69298570311013,-1.3895472762967,0.164666395419688,0.768443178625209,"Dennd2a","209773"
"ENSMUSG00000038457",4296.41276621279,-0.32570118535482,0.178533263473889,-1.8243165392115,0.0681042314268918,0.626873579157277,"Tmem255b","272465"
"ENSMUSG00000038459",1812.28412665075,-0.0911327236965294,0.267586409495506,-0.340573065232821,0.733425009279322,0.99925033818109,"Abhd17c","70178"
"ENSMUSG00000038462",2747.72354589939,-0.209258779201497,0.15807633974298,-1.32378305027644,0.185575106932726,0.796312305746072,"Uqcrfs1","66694"
"ENSMUSG00000038463",286.499508424475,-1.08590073986639,0.477419865060028,-2.27451938919604,0.0229347766780506,0.379168115596028,"Olfml2b","320078"
"ENSMUSG00000038467",211.686641598764,0.599296237675285,0.443479271702163,1.35135118125153,0.176582964170326,0.785049753500294,"Chmp4b","75608"
