"","OK1","OK1_2","OK3","OK4","YK1","YK3","YK4"
"ENSMUSG00000001053",5406,5004,5824,5378,6353,5736,4484
"ENSMUSG00000001054",2570,2464,2518,2519,2521,2264,2592
"ENSMUSG00000001056",670,646,638,729,564,750,846
"ENSMUSG00000001062",1542,1535,1083,1078,1591,1062,1975
"ENSMUSG00000001065",1975,1831,1397,1112,2373,1611,1905
"ENSMUSG00000001076",10,15,0,0,0,0,0
"ENSMUSG00000001082",2389,2168,2295,2635,1256,1893,2169
"ENSMUSG00000001089",7550,7228,5746,5425,6203,3832,4779
"ENSMUSG00000001095",44,63,0,58,0,20,0
"ENSMUSG00000001098",11879,10870,10156,10956,12595,8827,8532
"ENSMUSG00000001100",2870,2647,2236,4914,3321,3867,4265
"ENSMUSG00000001103",0,0,0,0,0,0,0
"ENSMUSG00000001105",1197,1089,1008,1155,1579,1300,1353
"ENSMUSG00000001119",134,125,42,81,1,68,134
"ENSMUSG00000001120",1928,1847,1458,1655,1984,1511,1947
"ENSMUSG00000001123",13345,12265,13664,11439,12110,10751,11463
"ENSMUSG00000001127",5002,4706,4395,5615,5614,5956,6893
"ENSMUSG00000001128",121,113,156,31,22,0,0
"ENSMUSG00000001131",36,31,17,51,35,123,19
"ENSMUSG00000001134",80,64,28,131,77,68,54
"ENSMUSG00000001138",1062,1006,1911,2526,1748,1485,1268
"ENSMUSG00000001143",1798,1609,1532,1582,3128,1755,2156
"ENSMUSG00000001150",2700,2441,1971,948,1681,1626,1895
"ENSMUSG00000001151",1551,1572,1177,733,414,1380,901
"ENSMUSG00000001155",22,29,0,135,0,34,0
"ENSMUSG00000001156",1802,1639,1440,2340,1126,1977,1648
"ENSMUSG00000001157",2755,2633,2870,2240,3278,2998,3735
"ENSMUSG00000001158",1608,1436,1832,1730,2193,1841,1732
"ENSMUSG00000001166",192,191,180,180,75,132,328
"ENSMUSG00000001168",0,0,0,0,1,0,0
"ENSMUSG00000001173",947,951,948,1031,1663,1110,271
"ENSMUSG00000001175",51797,48842,58113,64810,55125,61216,49640
"ENSMUSG00000001211",5101,4814,5108,6429,6920,6735,7290
"ENSMUSG00000001225",0,0,0,0,0,0,0
"ENSMUSG00000001227",7489,6926,2555,3636,3243,2105,2683
"ENSMUSG00000001228",142,126,143,170,110,89,321
"ENSMUSG00000001229",3987,3619,2040,1831,2828,2276,3087
"ENSMUSG00000001240",10222,9574,12114,10335,11039,10841,8048
"ENSMUSG00000001247",698,705,521,784,1041,1026,971
"ENSMUSG00000001248",6853,6241,3884,6042,5748,4422,9289
"ENSMUSG00000001249",1781,1596,1399,3051,3402,2997,3481
"ENSMUSG00000001260",0,0,0,0,0,260,0
"ENSMUSG00000001270",5921,5626,5748,10346,10903,11232,13208
"ENSMUSG00000001280",2073,1803,1775,2367,2286,1856,1414
"ENSMUSG00000001281",126,116,230,393,134,79,228
"ENSMUSG00000001285",916,819,996,1041,955,1064,1235
"ENSMUSG00000001288",4577,4322,4628,3594,3204,3719,4633
"ENSMUSG00000001289",676,578,874,798,801,861,863
"ENSMUSG00000001300",15583,14714,18670,17224,15868,14317,17432
"ENSMUSG00000001305",823,793,809,820,1041,779,825
"ENSMUSG00000001313",134,112,188,314,366,381,316
"ENSMUSG00000001323",647,595,901,947,630,849,554
"ENSMUSG00000001333",51,65,24,41,76,30,39
"ENSMUSG00000001334",0,0,0,0,23,0,0
"ENSMUSG00000001348",65,47,62,142,0,30,71
"ENSMUSG00000001349",103,108,201,230,104,363,342
"ENSMUSG00000001366",3401,3142,2791,2973,4793,4080,4359
"ENSMUSG00000001376",1630,1530,1535,2540,654,1369,1931
"ENSMUSG00000001380",2666,2446,2430,2785,2712,2712,2403
"ENSMUSG00000001383",1376,1246,1872,1621,1882,2006,1444
"ENSMUSG00000001403",22,28,70,62,117,47,11
"ENSMUSG00000001415",1920,1728,1408,1839,1909,1521,2196
"ENSMUSG00000001416",7178,6812,4714,7471,9177,5554,6486
"ENSMUSG00000001418",8901,8226,7829,8414,8169,8679,8454
"ENSMUSG00000001419",6139,5862,4811,5482,4452,4063,4285
"ENSMUSG00000001420",68,73,100,194,76,168,231
"ENSMUSG00000001424",5826,5418,5937,5798,4702,4515,5052
"ENSMUSG00000001435",17795,16765,16853,22224,24348,24199,17393
"ENSMUSG00000001436",399,385,139,541,192,383,396
"ENSMUSG00000001440",1277,1185,1269,1077,1023,1445,1514
"ENSMUSG00000001441",1403,1343,756,1356,1372,1435,1395
"ENSMUSG00000001444",0,0,0,0,0,0,0
"ENSMUSG00000001445",1524,1409,1642,1851,1910,1875,1749
"ENSMUSG00000001467",1967,1866,2269,2680,2012,2521,2202
"ENSMUSG00000001472",11155,10242,11051,12701,10985,10226,12835
"ENSMUSG00000001473",1663,1588,1106,1292,1633,1484,1377
"ENSMUSG00000001482",1525,1491,1140,1683,2313,2361,2016
"ENSMUSG00000001493",4655,4360,4946,4379,4408,4498,5446
"ENSMUSG00000001494",475,462,2160,1179,1239,634,441
"ENSMUSG00000001496",0,0,0,0,0,0,0
"ENSMUSG00000001497",0,0,0,13,0,0,0
"ENSMUSG00000001504",324,310,375,1107,612,1018,954
"ENSMUSG00000001506",0,0,118,24,0,67,57
"ENSMUSG00000001507",8815,8210,6539,5991,5782,4766,5843
"ENSMUSG00000001508",0,0,0,92,24,0,36
"ENSMUSG00000001510",0,0,29,0,0,28,1
"ENSMUSG00000001517",170,132,202,179,55,280,126
"ENSMUSG00000001518",1014,896,977,979,922,816,1386
"ENSMUSG00000001520",150,154,123,433,1050,765,1276
"ENSMUSG00000001521",131,108,129,153,199,155,243
"ENSMUSG00000001524",596,520,701,640,799,557,775
"ENSMUSG00000001525",3127,2799,2697,3537,2373,3136,2704
"ENSMUSG00000001542",1273,1243,576,1666,1442,1459,1456
"ENSMUSG00000001552",44120,41096,39210,35779,29678,34212,37048
"ENSMUSG00000001555",2668,2404,2941,2545,1991,2373,2402
"ENSMUSG00000001558",0,0,0,0,0,40,0
"ENSMUSG00000001566",0,0,0,0,0,0,0
"ENSMUSG00000001569",1737,1612,1629,2384,1478,1184,2113
"ENSMUSG00000001576",5584,5154,4488,4357,3972,4547,3629
"ENSMUSG00000001583",189,178,215,303,106,270,468
"ENSMUSG00000001588",163,136,81,21,19,156,46
"ENSMUSG00000001604",130,112,192,156,186,122,137
