"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol","entrezid"
"ENSMUSG00000000134",3390.19142546484,0.373554379266547,0.171661538887227,2.17610992938816,0.029547041634399,0.304936531194464,"Tfe3","209446"
"ENSMUSG00000000142",81.2424828948841,0.122868655204572,0.280091038892814,0.438673995748901,0.66089777204557,0.947031947377087,"Axin2","12006"
"ENSMUSG00000000148",1651.55710799961,-0.0781476124703033,0.21484218138111,-0.363744270179777,0.716048981735395,0.960968881802089,"Brat1","231841"
"ENSMUSG00000000149",6236.05753271052,0.268368863794986,0.194845210851764,1.37734390607711,0.168405946706587,0.65065211015064,"Gna12","14673"
"ENSMUSG00000000154",416.50690271077,0.678662467832222,0.281051783844486,2.41472392933733,0.0157471400487877,0.212556735027656,"Slc22a18","18400"
"ENSMUSG00000000157",11.5712488951161,-0.0351813877901738,0.119374068269128,-0.294715496424714,0.768211224264997,NA,"Itgb2l","16415"
"ENSMUSG00000000159",1297.58577645389,-0.36702970469598,0.242891444218573,-1.51108535698647,0.130766704956658,0.588437738919039,"Igsf5","72058"
"ENSMUSG00000000167",86.4519935455025,-0.0617980477977833,0.269187590248123,-0.229572424719955,0.818424036480882,0.974869593774896,"Pih1d2","72614"
"ENSMUSG00000000168",7437.44978273045,-0.426563891703634,0.156037783835841,-2.73372180261416,0.00626229297994678,0.126081418353282,"Dlat","235339"
"ENSMUSG00000000171",8745.92765948776,-0.37980693195402,0.147358015626044,-2.57744331274025,0.00995342059592537,0.166296368581107,"Sdhd","66925"
"ENSMUSG00000000184",8085.23389709032,-0.237799181387028,0.134023427929346,-1.77431054451458,0.0760117973575401,0.465827402865965,"Ccnd2","12444"
"ENSMUSG00000000194",3619.48540379532,-0.00537273350927521,0.206315483536046,-0.0260413489922899,0.979224357896488,0.997565387851868,"Gpr107","277463"
"ENSMUSG00000000202",9.52741459363807,0.0159238870124435,0.0831135163927669,0.191592026225825,NA,NA,"Btbd17","72014"
"ENSMUSG00000000204",83.1579094995325,-0.148943842105491,0.147747032054923,-1.0081003999466,0.313406265668649,0.798982539277981,"Slfn4","20558"
