"","CellType"
"984","Young"
"985","Young"
"986","Young"
"987","Young"
"988","Young"
"989","Young"
"990","Young"
"991","Young"
"992","Young"
"993","Young"
"994","Young"
"995","Young"
"996","Young"
"997","Young"
"998","Young"
"999","Young"
"1000","Young"
"1001","Young"
"1002","Young"
"1003","Young"
"1004","Young"
"1005","Young"
"1006","Young"
"1007","Young"
"1008","Young"
"1009","Young"
"1010","Young"
"1011","Young"
"1012","Young"
"1013","Young"
"1014","Young"
"1015","Young"
"1016","Young"
"1017","Young"
"1018","Young"
"1019","Young"
"1020","Young"
"1021","Young"
"1022","Young"
"1023","Young"
"1024","Young"
"1025","Young"
"1026","Young"
"1027","Young"
"1028","Young"
"1029","Young"
"1030","Young"
"1031","Young"
"1032","Young"
"1033","Young"
"1034","Young"
"1035","Young"
"1036","Young"
"1037","Young"
"1038","Young"
"1039","Young"
"1040","Young"
"1041","Young"
"1042","Young"
"1043","Young"
"1044","Young"
"1045","Young"
"1046","Young"
"1047","Young"
"1048","Young"
"1049","Young"
"1050","Young"
"1051","Young"
"1052","Young"
"1053","Young"
"1054","Young"
"1055","Young"
"1056","Young"
"1057","Young"
"1058","Young"
"1059","Young"
"1060","Young"
"1061","Young"
"1062","Young"
"1063","Young"
"1064","Young"
"1065","Young"
"1066","Young"
"1067","Young"
"1068","Young"
"1069","Young"
"1070","Young"
"1071","Young"
"1072","Young"
"1073","Young"
"1074","Young"
"1075","Young"
"1076","Young"
"1077","Young"
"1078","Young"
"1079","Young"
"1080","Young"
"1081","Young"
"1082","Young"
"1083","Young"
"1084","Young"
"1085","Young"
"1086","Young"
"1087","Young"
"1088","Young"
"1089","Young"
"1090","Young"
"1091","Young"
"1092","Young"
"1093","Young"
"1094","Young"
"1095","Young"
"1096","Young"
"1097","Young"
"1098","Young"
"1099","Young"
"1100","Young"
"1101","Young"
"1102","Young"
"1103","Young"
"1104","Young"
"1105","Young"
"1106","Young"
"1107","Young"
"1108","Young"
"1109","Young"
"1110","Young"
"1111","Young"
"1112","Young"
"1113","Young"
"1114","Young"
"1115","Young"
"1116","Young"
"1117","Young"
"1118","Young"
"1119","Young"
"1120","Young"
"1121","Young"
"1122","Young"
"1123","Young"
"1124","Young"
"1125","Young"
"1126","Young"
"1127","Young"
"1128","Young"
"1129","Young"
"1130","Young"
"1131","Young"
"1132","Young"
"1133","Young"
"1134","Young"
"1135","Young"
"1136","Young"
"1137","Young"
"1138","Young"
"1139","Young"
"1140","Young"
"1141","Young"
"1142","Young"
"1143","Young"
"1144","Young"
"1145","Young"
"1146","Young"
"1147","Young"
"1148","Young"
"1149","Young"
"1150","Young"
"1151","Young"
"1152","Young"
"1153","Young"
"1154","Young"
"1155","Young"
"1156","Young"
"1157","Young"
"1158","Young"
"1159","Young"
"1160","Young"
"1161","Young"
"1162","Young"
"1163","Young"
"1164","Young"
"1165","Young"
"1166","Young"
"1167","Young"
"1168","Young"
"1169","Young"
"1170","Young"
"1171","Young"
"1172","Young"
"1173","Young"
"1174","Young"
"1175","Young"
"1176","Young"
"1177","Young"
"1178","Young"
"1179","Young"
"1180","Young"
"1181","Young"
"1182","Young"
"1183","Young"
"1184","Young"
"1185","Young"
"1186","Young"
"1187","Young"
"1188","Young"
"1189","Young"
"1190","Young"
"1191","Young"
"1192","Young"
"1193","Young"
"1194","Young"
"1195","Young"
"1196","Young"
"1197","Young"
"1198","Young"
"1199","Young"
"1200","Young"
"1201","Young"
"1202","Young"
"1203","Young"
"1204","Young"
"1205","Young"
"1206","Young"
"1207","Young"
"1208","Young"
"1209","Young"
"1210","Young"
"1211","Young"
"1212","Young"
"1213","Young"
"1214","Young"
"1215","Young"
"1216","Young"
"1217","Young"
"1218","Young"
"1219","Young"
"1220","Young"
"1221","Young"
"1222","Young"
"1223","Young"
"1224","Young"
"1225","Young"
"1226","Young"
"1227","Young"
"1228","Young"
"1229","Young"
"1230","Young"
"1231","Young"
"1232","Young"
"1233","Young"
"1234","Young"
"1235","Young"
"1236","Young"
"1237","Young"
"1238","Young"
"1239","Young"
"1240","Young"
"1241","Young"
"1242","Young"
"1243","Young"
"1244","Young"
"1245","Young"
"1246","Young"
"1247","Young"
"1248","Young"
"1249","Young"
"1250","Young"
"1251","Young"
"1252","Young"
"1253","Young"
"1254","Young"
"1255","Young"
"1256","Young"
"1257","Young"
"1258","Young"
"1259","Young"
"1260","Young"
"1261","Young"
"1262","Young"
"1263","Young"
"1264","Young"
"1265","Young"
"1266","Young"
"1267","Young"
"1268","Young"
"1269","Young"
"1270","Young"
"1271","Young"
"1272","Young"
"1273","Young"
"1274","Young"
"1275","Young"
"1276","Young"
"1277","Young"
"1278","Young"
"1279","Young"
"1280","Young"
"1281","Young"
"1282","Young"
"1283","Young"
"1284","Young"
"1285","Young"
"1286","Young"
"1287","Young"
"1288","Young"
"1289","Young"
"1290","Young"
"1291","Young"
"1292","Young"
"1293","Young"
"1294","Young"
"1295","Young"
"1296","Young"
"1297","Young"
"1298","Young"
"1299","Young"
"1300","Young"
"1301","Young"
"1302","Young"
