"","V1","V2","cl_kmeans","cl_hierarchical","CellNames"
"Cell_4210",10.6872928306449,21.5468511965162,"6","8","Cell_4210"
"Cell_4310",-3.06270241554489,34.7940866574713,"5","2","Cell_4310"
"Cell_4410",-14.7661255336329,-38.0471671005186,"2","3","Cell_4410"
"Cell_4510",-1.8678421373054,29.0145588478216,"5","2","Cell_4510"
"Cell_4610",17.3617766030802,21.8408267323424,"6","8","Cell_4610"
"Cell_4710",36.3614452556131,-15.4247343987734,"8","5","Cell_4710"
"Cell_4810",2.05776182533598,36.1914613328604,"5","2","Cell_4810"
"Cell_4910",17.5401624550442,25.9266872360126,"6","8","Cell_4910"
"Cell_5010",12.861951979775,19.5812707369254,"6","8","Cell_5010"
"Cell_5110",0.960458031403924,23.9346977737729,"5","2","Cell_5110"
"Cell_5210",-1.86491722031196,39.9332577438421,"5","2","Cell_5210"
"Cell_5310",3.00888405372538,8.35872183222253,"3","1","Cell_5310"
"Cell_5410",28.9088992080483,-10.4108173737572,"8","5","Cell_5410"
"Cell_5510",-1.5948548252482,32.7663502253844,"5","2","Cell_5510"
"Cell_5610",-8.53266876539478,33.7223893335763,"5","2","Cell_5610"
"Cell_5710",-23.3544144464881,8.76020410004073,"7","7","Cell_5710"
"Cell_5810",30.1194523341166,-9.44581578362432,"8","5","Cell_5810"
"Cell_5910",-19.9275771250288,19.6918946855834,"7","7","Cell_5910"
"Cell_6010",-23.14196694969,5.08478470418963,"7","7","Cell_6010"
"Cell_6110",-30.6309198844152,16.4265871636463,"7","7","Cell_6110"
"Cell_6210",28.6529121617062,-5.55356410659078,"8","5","Cell_6210"
"Cell_6310",6.38802148075471,31.2057653514076,"5","2","Cell_6310"
"Cell_6410",3.57238842682669,1.428785070665,"3","1","Cell_6410"
"Cell_6510",0.0119033291099043,-39.3379466509607,"2","3","Cell_6510"
"Cell_6610",-1.90226711987446,-6.76311840918315,"3","4","Cell_6610"
"Cell_6710",17.3704930695889,17.9350459590751,"6","8","Cell_6710"
"Cell_6810",15.51692806065,-7.25055111190803,"4","6","Cell_6810"
"Cell_6910",3.73896615951128,-7.09870306978379,"4","4","Cell_6910"
"Cell_7010",11.7008900769404,-14.4758970786289,"4","6","Cell_7010"
"Cell_7110",7.77892551255618,-38.6152163238555,"2","3","Cell_7110"
"Cell_7210",-11.198770043049,38.8503005389437,"5","2","Cell_7210"
"Cell_7310",2.47042318931185,27.6984346509882,"5","2","Cell_7310"
"Cell_7410",-9.97330497397013,34.4207830118736,"5","2","Cell_7410"
"Cell_7510",28.7285256994179,1.44526373393809,"8","8","Cell_7510"
"Cell_7610",-10.3194753867372,-10.8376532592102,"1","4","Cell_7610"
"Cell_772",6.62597587126085,28.2978064305518,"5","2","Cell_772"
"Cell_781",-7.8879678142525,0.5935183270101,"3","4","Cell_781"
"Cell_791",-1.17908701075186,16.6400060663883,"3","1","Cell_791"
"Cell_801",-2.49629253317304,27.4230981918738,"5","2","Cell_801"
"Cell_811",4.09779232354526,25.6292304297048,"5","2","Cell_811"
"Cell_821",0.616953031865889,38.0913217314744,"5","2","Cell_821"
"Cell_831",29.8014864769796,-0.490193471720171,"8","8","Cell_831"
"Cell_841",20.1840260681003,-11.0074009279269,"8","6","Cell_841"
"Cell_851",19.5943294335943,-14.9505867561427,"8","6","Cell_851"
"Cell_861",34.209621221467,-9.68193543389593,"8","5","Cell_861"
"Cell_871",2.63907441320432,8.55640234787023,"3","1","Cell_871"
"Cell_881",-20.7719814244454,3.06874351599228,"7","7","Cell_881"
"Cell_891",3.53249766556157,5.77076543734277,"3","1","Cell_891"
"Cell_901",-9.25179479192186,35.5196282604685,"5","2","Cell_901"
"Cell_911",-13.9515504134639,-38.9486936284397,"2","3","Cell_911"
"Cell_921",-16.0555648828998,14.253937202724,"7","7","Cell_921"
"Cell_931",-5.96403154801002,4.82512770226628,"3","4","Cell_931"
"Cell_941",-14.0334269975995,-8.48582961799606,"1","4","Cell_941"
"Cell_951",-34.6506312898039,16.7916374579374,"7","7","Cell_951"
"Cell_961",-7.01788634056907,-10.4010815501846,"1","4","Cell_961"
"Cell_971",0.992886198728107,25.8491019039921,"5","2","Cell_971"
"Cell_981",34.6476710460503,-10.3005901093843,"8","5","Cell_981"
"Cell_991",23.3498724575714,-19.0535495242356,"8","5","Cell_991"
"Cell_1001",26.9365203655121,-18.3599226331414,"8","5","Cell_1001"
"Cell_1011",-9.09049003030481,22.8867517253724,"5","2","Cell_1011"
"Cell_1021",-21.7536037323637,4.54321198802839,"7","7","Cell_1021"
"Cell_1031",13.0396560380864,22.379123741696,"6","8","Cell_1031"
"Cell_1041",-1.48677083529179,-8.85775455780214,"4","4","Cell_1041"
"Cell_1051",-21.132378717678,-5.30740078491288,"1","4","Cell_1051"
"Cell_1061",-7.03609555912229,33.9017223723951,"5","2","Cell_1061"
"Cell_1071",-14.9393320321048,0.0436052081993696,"1","4","Cell_1071"
"Cell_1081",2.3474638447179,18.6627158662742,"3","1","Cell_1081"
"Cell_1091",18.3657872236014,10.1223195973201,"6","8","Cell_1091"
"Cell_1101",-5.64766171783889,37.7867771025235,"5","2","Cell_1101"
"Cell_1111",-20.4068706830311,28.3497158809153,"7","7","Cell_1111"
"Cell_1121",-14.0348847502668,-38.4092888689698,"2","3","Cell_1121"
"Cell_1131",31.3123074974732,-14.3752299070891,"8","5","Cell_1131"
"Cell_1141",34.0998567716502,-5.14144160545156,"8","5","Cell_1141"
"Cell_1151",-0.188054733336286,-41.1521569085681,"2","3","Cell_1151"
"Cell_1161",4.37951971932031,-20.224492925346,"4","6","Cell_1161"
"Cell_1171",-25.6938821376539,0.398221324146738,"7","7","Cell_1171"
"Cell_1181",-6.86963445710972,-29.6905146679862,"2","4","Cell_1181"
"Cell_1191",-15.1182024696245,-24.7190463597566,"1","4","Cell_1191"
"Cell_1201",-15.8691918737581,11.643108634291,"7","7","Cell_1201"
"Cell_1211",11.6078301379115,5.80437195028052,"6","1","Cell_1211"
"Cell_1221",-15.5737687383274,-5.53320534343899,"1","4","Cell_1221"
"Cell_1231",-9.94251477208798,-20.6697988526227,"1","4","Cell_1231"
"Cell_1241",-9.58265618100457,-8.01854700625627,"1","4","Cell_1241"
"Cell_1251",29.0180751105797,-14.8419165433488,"8","5","Cell_1251"
"Cell_1261",0.0569548737026943,32.8934358615943,"5","2","Cell_1261"
"Cell_1271",-8.87443673003595,4.97016237370673,"3","4","Cell_1271"
"Cell_1281",31.2916193782522,-13.3065539221184,"8","5","Cell_1281"
"Cell_1291",-26.2222468861115,-2.09692266949951,"7","7","Cell_1291"
"Cell_1301",-0.189980034695688,25.1934072178605,"5","2","Cell_1301"
"Cell_1311",-13.8474001922913,18.7827532435108,"7","7","Cell_1311"
"Cell_1321",-23.0940234994079,11.4177014850679,"7","7","Cell_1321"
"Cell_1331",-12.1491011996037,-39.4529394847364,"2","3","Cell_1331"
"Cell_1341",20.045507330054,25.6181206687011,"6","8","Cell_1341"
"Cell_1351",-19.1152533554831,27.5447139374284,"7","7","Cell_1351"
"Cell_1361",17.6279942765601,21.7822163457488,"6","8","Cell_1361"
"Cell_1371",-21.8036448097068,7.79798343461901,"7","7","Cell_1371"
"Cell_1381",-6.19413188511909,2.20072527085613,"3","4","Cell_1381"
"Cell_1391",-29.6391473548107,16.913679007712,"7","7","Cell_1391"
"Cell_1401",-10.7416558166182,-12.581396038447,"1","4","Cell_1401"
