"","CellType"
"Cell_595","Young"
"Cell_599","Young"
"Cell_610","Young"
"Cell_612","Young"
"Cell_618","Young"
"Cell_619","Young"
"Cell_625","Young"
"Cell_629","Young"
"Cell_634","Young"
"Cell_635","Young"
"Cell_638","Young"
"Cell_641","Young"
"Cell_1310","Old"
"Cell_2510","Old"
"Cell_3010","Old"
"Cell_3110","Old"
"Cell_3410","Old"
"Cell_4110","Old"
"Cell_4710","Old"
"Cell_4910","Old"
"Cell_5110","Old"
"Cell_6410","Old"
"Cell_7410","Old"
"Cell_801","Old"
"Cell_831","Old"
"Cell_841","Old"
"Cell_941","Old"
"Cell_951","Old"
"Cell_1061","Old"
"Cell_1071","Old"
"Cell_1141","Old"
"Cell_1161","Old"
"Cell_1181","Old"
"Cell_1231","Old"
"Cell_1241","Old"
"Cell_1331","Old"
"Cell_1341","Old"
"Cell_1401","Old"
"Cell_1511","Old"
"Cell_1561","Old"
"Cell_1601","Old"
"Cell_1611","Old"
"Cell_1691","Old"
"Cell_1711","Old"
"Cell_1751","Old"
"Cell_1771","Old"
"Cell_1791","Old"
"Cell_1801","Old"
"Cell_1811","Old"
"Cell_1841","Old"
"Cell_1871","Old"
"Cell_1921","Old"
"Cell_1971","Old"
"Cell_2051","Old"
"Cell_2221","Old"
"Cell_2301","Old"
"Cell_2331","Old"
"Cell_2351","Old"
"Cell_2411","Old"
"Cell_2571","Old"
"Cell_2601","Old"
"Cell_2621","Old"
"Cell_2661","Old"
"Cell_2701","Old"
"Cell_2811","Old"
"Cell_2821","Old"
"Cell_2871","Old"
"Cell_2891","Old"
"Cell_2931","Old"
"Cell_3001","Old"
"Cell_3091","Old"
"Cell_3111","Old"
"Cell_3121","Old"
"Cell_3171","Old"
"Cell_3181","Old"
"Cell_3211","Old"
"Cell_3311","Old"
"Cell_3381","Old"
"Cell_3391","Old"
"Cell_3611","Old"
"Cell_3671","Old"
"Cell_3741","Old"
"Cell_3771","Old"
"Cell_3801","Old"
"Cell_3871","Old"
"Cell_3931","Old"
"Cell_3991","Old"
"Cell_4101","Old"
"Cell_4181","Old"
"Cell_4291","Old"
"Cell_4381","Old"
"Cell_4441","Old"
"Cell_4501","Old"
"Cell_4541","Old"
"Cell_4581","Old"
"Cell_4621","Old"
"Cell_4771","Old"
"Cell_4851","Old"
"Cell_4871","Old"
"Cell_4891","Old"
"Cell_4901","Old"
"Cell_4981","Old"
"Cell_5091","Old"
"Cell_5121","Old"
"Cell_5211","Old"
"Cell_5221","Old"
"Cell_5241","Old"
"Cell_5261","Old"
"Cell_5281","Old"
"Cell_5311","Old"
"Cell_5331","Old"
"Cell_5431","Old"
"Cell_5451","Old"
"Cell_5511","Old"
"Cell_5531","Old"
"Cell_5541","Old"
"Cell_5921","Old"
"Cell_5931","Old"
"Cell_5961","Old"
"Cell_6031","Old"
"Cell_6151","Old"
"Cell_6191","Old"
"Cell_6401","Old"
"Cell_6471","Old"
"Cell_649","Old"
"Cell_650","Old"
"Cell_654","Old"
"Cell_655","Old"
"Cell_660","Old"
"Cell_679","Old"
"Cell_687","Old"
"Cell_692","Old"
"Cell_695","Old"
"Cell_696","Old"
"Cell_698","Old"
"Cell_700","Old"
"Cell_703","Old"
"Cell_705","Old"
"Cell_708","Old"
"Cell_710","Old"
"Cell_713","Old"
"Cell_718","Old"
"Cell_727","Old"
"Cell_730","Old"
"Cell_731","Old"
"Cell_733","Old"
"Cell_735","Old"
"Cell_750","Old"
"Cell_756","Old"
"Cell_761","Old"
"Cell_762","Old"
"Cell_68","Young"
"Cell_107","Young"
"Cell_215","Young"
"Cell_244","Young"
"Cell_305","Young"
"Cell_320","Young"
"Cell_365","Young"
"Cell_438","Young"
"Cell_479","Young"
"Cell_2110","Old"
"Cell_6710","Old"
"Cell_811","Old"
"Cell_961","Old"
"Cell_1291","Old"
"Cell_1531","Old"
"Cell_1621","Old"
"Cell_2011","Old"
"Cell_2171","Old"
"Cell_2181","Old"
"Cell_2391","Old"
"Cell_2801","Old"
"Cell_3981","Old"
"Cell_4231","Old"
"Cell_4571","Old"
"Cell_4611","Old"
"Cell_4761","Old"
"Cell_5001","Old"
"Cell_5151","Old"
"Cell_5171","Old"
"Cell_5851","Old"
"Cell_6051","Old"
"Cell_674","Old"
"Cell_715","Old"
"Cell_726","Old"
"Cell_749","Old"
"Cell_765","Old"
"Cell_1721","Old"
"Cell_3161","Old"
"Cell_759","Old"
