"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Srsf7",0.00749788822606332,0.28753932428977,0.217,0.109,1
"Aqp1",0.00760131692903073,0.384507012577438,0.456,0.326,1
"Rsu1",0.00772013738783182,0.25750065864154,0.395,0.261,1
"Phactr2",0.00775770850211482,0.273021935690451,0.145,0.058,1
"Aldh3a2",0.00775870607473772,0.257039422696863,0.102,0.029,1
"Hmg20b",0.00776041117533072,0.358110446619745,0.264,0.152,1
"Aplnr",0.00846529868242891,0.408910254775942,0.123,0.043,1
"9530082P21Rik",0.00853542466454404,0.320497646093617,0.155,0.065,1
"Psma4",0.00860878052148735,0.263291884896652,0.243,0.13,1
"Cirbp",0.00862296316693462,-0.369622243414255,0.168,0.261,1
"Fkbp9",0.00885864806613572,0.308234240077151,0.153,0.065,1
"Rfc1",0.00912410963548197,-0.376217600379252,0.045,0.101,1
"Ptk2",0.00917094184036681,-0.340061080342373,0.096,0.174,1
"Plekhj1",0.00917764596909927,0.302040978181207,0.11,0.036,1
"Arap3",0.00920387213471858,0.335579656426298,0.188,0.094,1
"Nr3c1",0.00928631831555967,0.285333636400706,0.192,0.094,1
"Dab2",0.00936023543023492,0.320209861534918,0.121,0.043,1
"Cct8",0.00950515007094045,0.323182626676711,0.227,0.123,1
"Dcun1d5",0.00954626854943677,0.266460285121793,0.194,0.094,1
"Ran",0.00964703130917858,0.275889040029771,0.307,0.188,1
"Dok4",0.00974919332560564,0.293356984018637,0.182,0.087,1
"Kank3",0.00991710785892401,0.256838996034109,0.548,0.399,1
"Ipo11",0.0102111531660142,0.276852132908602,0.11,0.036,1
"Kras",0.0105178876970582,0.278836911055493,0.162,0.072,1
"Rcsd1",0.010598371422215,0.334370038185555,0.147,0.065,1
"Krit1",0.0108336666421476,0.33507337573577,0.184,0.094,1
"Cul1",0.0108391614323571,0.34876896887107,0.137,0.058,1
"Ap2s1",0.0108426529453484,0.267664025876488,0.186,0.094,1
"Fam133b",0.0109326334832706,0.286273927237868,0.141,0.058,1
"Krtcap2",0.0111196938667186,0.282385853619816,0.384,0.268,1
"Gimap1",0.0114925269508848,0.260297481821075,0.356,0.232,1
"Trnau1ap",0.0116743104402311,0.280024934357175,0.18,0.087,1
"Fyn",0.0117856046906177,0.284901064364091,0.18,0.087,1
"Dnm3",0.0118747424203822,0.374150936907223,0.117,0.043,1
"Glmp",0.0119911578041219,0.291144276220446,0.274,0.167,1
"Tmco1",0.0122861887195333,0.281609501895861,0.327,0.21,1
"1110059E24Rik",0.0130412180026022,0.295610324068788,0.104,0.036,1
"Serinc1",0.0133288973054347,0.272562040110616,0.419,0.297,1
"Adamts1",0.0134657738365832,0.424095546829481,0.211,0.116,1
"Pink1",0.0138189688037375,0.287799335778221,0.174,0.087,1
"Nes",0.0139142418893071,0.295778756597469,0.219,0.123,1
"Ctsz",0.0141282234262855,0.288784066215771,0.256,0.152,1
"Coro1c",0.0141970550177055,0.287322133799574,0.176,0.087,1
"Man1a2",0.0141973591877443,-0.418005697066781,0.063,0.123,1
"Trib2",0.0144584275246411,0.335421420123036,0.123,0.051,1
"Vat1",0.0149508629831984,0.269099443602013,0.125,0.051,1
"Ctso",0.0151150881991597,0.304339823882122,0.164,0.08,1
"Sod1",0.0152767417770656,-0.468345651927949,0.254,0.333,1
"Zcchc6",0.0156247993953185,0.26211063794803,0.104,0.036,1
"Pdzd2",0.0158398270988065,0.269616441407478,0.311,0.196,1
"Tcp1",0.01620291920849,0.288526599431938,0.153,0.072,1
"Os9",0.0164000882008383,0.272628355483769,0.225,0.13,1
"Kctd12",0.0167152170803574,0.366028091958955,0.119,0.051,1
"Fcgrt",0.0168906570101924,0.267617010716705,0.28,0.174,1
"Arhgef15",0.0172566209269495,0.261187250618611,0.384,0.261,1
"Gm16286",0.0173209798786654,0.289701576623717,0.168,0.087,1
