"","CellType"
"Cell_9531","Old"
"Cell_9571","Old"
"Cell_9581","Old"
"Cell_9611","Old"
"Cell_9661","Old"
"Cell_9671","Old"
"Cell_9691","Old"
"Cell_9731","Old"
"Cell_9791","Old"
"Cell_9821","Old"
"Cell_9911","Old"
"Cell_9931","Old"
"Cell_9971","Old"
"Cell_10001","Old"
"Cell_10031","Old"
"Cell_10091","Old"
"Cell_10161","Old"
"Cell_10171","Old"
"Cell_10191","Old"
"Cell_10281","Old"
"Cell_10321","Old"
"Cell_10331","Old"
"Cell_10341","Old"
"Cell_10351","Old"
"Cell_10401","Old"
"Cell_10411","Old"
"Cell_10431","Old"
"Cell_10471","Old"
"Cell_10481","Old"
"Cell_10511","Old"
"Cell_10521","Old"
"Cell_10531","Old"
"Cell_10551","Old"
"Cell_10561","Old"
"Cell_10641","Old"
"Cell_10651","Old"
"Cell_10711","Old"
"Cell_10831","Old"
"Cell_10841","Old"
"Cell_10981","Old"
"Cell_10991","Old"
"Cell_11001","Old"
"Cell_11191","Old"
"Cell_11241","Old"
"Cell_11341","Old"
"Cell_11351","Old"
"Cell_11381","Old"
"Cell_11411","Old"
"Cell_11461","Old"
"Cell_11591","Old"
"Cell_11601","Old"
"Cell_11651","Old"
"Cell_11681","Old"
"Cell_11731","Old"
"Cell_11751","Old"
"Cell_11781","Old"
"Cell_11831","Old"
